"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"3","0","1","0","1","0","1","3",257585.667330644,20.640572571069,0.458114294673108,0.499985734112706,1.49475670073522,507.342362753134,459.984930034544,390.302295475457
"41","0","0","0","1","0","0","3",18245.7781787527,4.99591066992941,0.173117302057273,0.635296197982569,0.151543393519274,11.5411899004869,-0.734384011544205,26.2534432835971
"5","1","0","1","0","1","1","3",8173.56093736272,2.54713527975761,0.218332391001421,0.231224778638169,0.0204462367091945,-2.61406445736872,0.345686730532158,92.3436377158055
"67","1","0","1","0","0","1","3",85451.2793037136,9.65650502070465,0.518678080668147,1.53805832472709,0.625330943822953,168.565605922843,148.543826955212,1766.7259349945
"7","0","0","0","1","0","1","3",6922.67358637272,1.9460237796888,0.229122885094088,0.293249116650933,-0.0356306381343,-2.35338769455796,1.35640410695354,62.2849886528257
"81","0","0","0","1","0","1","3",88371.4384215849,9.93335129046691,0.512319776619831,1.50269263622281,0.630007408450476,168.361578674312,157.695386499709,2480.95327179786
"9","0","0","1","1","0","1","3",289791.902092223,39.5638790840247,0.822994569051644,1.19141420253229,2.14432681844997,575.377637258536,521.227218427405,34.9363479068679
"10","1","1","0","0","0","0","3",141561.916062589,24.0785181928726,0.854439582269308,2.531516194598,1.0278112642574,284.352959781969,259.197425899315,26.1216588334302
"113","1","1","0","0","1","1","3",8843.28270100801,0.373998207584983,0.0703758068323966,0.21473269868965,0.115859450822292,19.7392074853851,18.6287689748784,21.9908521753621
"12","0","1","1","1","0","1","3",2674.49477873191,0.125126401273892,0.0171050999342008,0.170736605620055,0.0133392233256862,0.0613847865462754,-0.539778308795799,40.6726307829796
"13","1","1","0","1","0","0","3",5149.00763756596,1.04940261220559,0.147573462862056,0.189328807056881,0.00512762283906341,1.4826997231132,1.33265537106371,29.5010614249948
"141","0","0","0","0","0","1","2",125427.893430936,29.9822255810673,0.189824009254061,0.659349255155569,1.01888545494795,254.020190634611,230.427506291474,1202.97353097982
"151","0","1","0","1","0","1","3",16008.5856982757,0.714211056753277,0.0888714094651656,0.306386786338532,0.138768199291294,27.1217281205113,29.162295706807,173.255479482129
"161","1","1","0","0","1","0","3",8553.54515565266,2.78442831071357,0.244031745322694,0.261427932485473,0.00802240432943922,0.788525180423734,-0.224369279794745,62.060407395885
"171","0","0","0","0","1","1","3",11834.8778499584,2.33529426642268,0.250456441222704,0.29027579534735,0.0108239865609051,4.43545411684735,-3.54521578155587,6.71805792958092
"181","1","1","0","1","0","0","2",6478.04702342052,-0.101019963314206,0.105821365827118,0.0999709705617803,0.000335801480287185,-2.26462283091834,-0.964925987717732,11.2199525136014
"191","0","0","1","0","0","1","3",3840.13791781423,0.430530000743954,0.0381113429156742,0.029243198334023,0.0256121029794291,6.13259069712976,8.78689608088655,28.254187833894
"20","0","1","0","1","0","1","3",8782.14377275084,0.528749892319087,0.0451184428534094,0.103715025584,0.0326396433600944,7.20560700713842,7.19403940721059,18.5491861730789
"211","0","1","1","1","1","1","2",10422.0492133821,2.3423210141464,0.234456597595714,0.25930777639169,-0.0152578597079021,-5.76154937406379,-2.22505682374387,6.39426856153289
"22","0","1","0","1","0","0","3",17173.0003396108,6.81164735512695,0.134194645768891,0.204081002180064,0.232303652556648,14.9614041345262,4.12664786326938,58.2077990088851
"23","1","0","0","1","0","1","3",47020.9922087238,4.09627147426253,0.0715169697988016,0.164071509464949,0.380927631864497,44.3494344472041,4.64576903326536,56.5319597611414
"94","0","1","0","0","0","1","3",7046,0.54,0.03,0.04,0,0.028062586,0.009163294,14.31
"89","0","0","0","0","1","1","3",9000,4.44,0.25,0.3,0,0.035844916,0.011704462,14.36
"91","0","1","0","1","0","0","3",9000,4.44,0.03,0.04,0,0.035844916,0.011704462,14.36
"103","1","0","0","0","0","1","3",8000,2.32,0.24,0.25,0,0.031862147,0.010403967,15.22
"97","1","0","0","0","1","0","3",8449,2.77,0.25,0.28,0,0.03365041,0.010987889,17.24
"201","0","1","0","1","0","1","3",11521.35,0.511,0.068971613,0.204241605,0.084136942,18.53,18.53,18.64
"43","1","1","0","1","0","0","3",1730,0.03,0.0371,0.041,0.012,3.428808994,3.105346516,20
"42","1","1","1","0","0","0","3",3572,0.46,0.039,0.04,0.02,7.079598686,6.411732807,30
"52","1","0","1","0","1","0","3",1006,0.07,0.024,0.16,0.008,0.928615385,0.015476923,30
"66","1","0","0","1","0","0","3",17900,4.8001,0.172,0.65,0.1432,16.52307692,0.275384615,30
"84","1","0","1","0","0","1","3",6196.04,0,0.101142783,0.118292878,0,0.024677393,0.008057924,30
"98","0","0","1","0","0","1","3",11388,5.33,0.04,0.05,0,0.045355767,0.014810046,36.58
"86","1","1","0","1","0","0","3",7700,1.81,0.23,0.3,0,0.030667317,0.010013818,36.59
"61","0","0","0","1","0","0","3",155590,3.79,0.1001,0.16,2.139549517,143.6215385,2.393692308,38
"107","1","0","1","0","0","0","3",12303,0.33,2e-04,2e-04,0,0.049,0.016,38.34
"69","1","0","0","0","1","1","3",4680,0.4,0.0991,1.1,0.037,4.32,0.072,40
"63","0","0","1","0","0","0","3",15022,6.76,0.136,0.2,0.206570556,13.86646154,0.231107692,42
"39","0","0","1","0","0","1","3",143100,23.94,0.856656362,2.536766413,1.045016109,283.619981,256.8642118,45.6
"47","1","0","0","1","0","1","3",290800,39,0.82,1.2,2.142,576.3570263,521.9854144,46
"75","1","0","0","1","1","0","3",49000,4.3,0.0801,0.18,0.392,45.23076923,0.753846154,46
"99","1","0","0","1","0","0","3",8604,2.78,0.25,0.26,0,0.03426774,0.011189466,76.2
"100","0","0","1","0","1","0","3",8604,2.78,0.25,0.27,0,0.03426774,0.011189466,76.2
"102","0","1","0","1","0","0","3",7400,2.48,0.22,0.23,0,0.029472486,0.009623669,76.2
"34","1","0","1","1","0","0","3",16200,0.71,0.096979966,0.287181103,0.11830371,32.10792237,29.07896738,180
"33","0","1","0","1","1","0","2",256000,21,0.46,0.5,1.5,507.3844523,459.5194845,380
"57","1","1","1","1","0","0","3",24731.01,3.559638479,0.2615144,1.736282669,0.340081114,22.82862462,0.380477077,990
"71","1","1","0","1","0","1","2",125900,29.9,0.19,0.68,1.0072,249.5300881,225.9902465,1200
"110","1","0","1","0","1","1","2",85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,1750
"96","1","0","1","0","1","1","3",85556.24,9.718480434,0.512175383,1.516675025,0.624791398,169.5699452,153.5732785,2500
