"","process_1","process_2","process_3","process_4","process_5","process_6","Size","Wastewater","COD","NH3N","TN","TP","Cr","Cr6","HWsum"
"99","1","0","0","1","0","0","3",10300,1,0.129712415,0.301053501,0.145585218,4.59,0.740609894,6.799
"106","0","1","0","0","0","0","4",9200,2,0.05,0.1,0.002640481,0.051,0.051,9.7
"53","0","1","0","0","0","0","3",15694.39,0.82,0.197646333,0.458723404,0.221832154,7.58,0.517,0.26
"25","0","0","0","0","1","0","3",42352,4.41,0.237,0.647,0.016,553.63,3.045272837,8.014
"107","1","0","1","1","0","0","3",1550,0.084,0.019519829,0.045304168,0.021908455,0.01,0.111451003,0.43
"109","1","0","1","1","0","0","4",2268,0.328,0.014866253,0.027398675,0.000650936,0.018,0.018,0.273
"43","1","0","0","0","1","0","3",18810,11.74,2.94,2.94,1.47,0.0058,0.0058,0.46
"31","0","0","0","1","0","1","2",60547,3.4,0.189,0.189,0.85653673,440.3,4.96776016,8.528
"1","0","0","0","0","0","0","3",8962.8959387469,0.188621692290907,0.0535598335511213,0.0990101368974315,0.11330886980393,-1.99980499315159,0.48540676593095,113.944298611971
"2","1","1","0","0","1","0","3",1819.68330996668,0.225648804135939,0.0390298236289687,0.0112664905295465,0.00389697172377942,-3.31462339075583,0.0574515786096877,655.621093415162
"3","0","1","0","0","1","1","3",146951.576374192,8.21963353992492,0.277962264984528,0.457111238451284,2.05208134338033,9.28379267008115,0.986150525981182,59.8538123472639
"41","0","0","0","0","0","0","2",303643.250582847,16.5269661039156,0.535761313814166,0.899946804532621,1.39463188130051,18.1168431630216,1.56497551868913,674.203303506261
"5","0","1","0","0","0","0","3",151151.537759495,3.50159379191359,1.8892200844401,4.38651791069756,0.0454014125338074,79.7780910952401,1.78438592081552,431.618847107628
"6","1","1","1","0","0","0","3",58611.9535059473,5.78702084572788,0.954903492789644,0.940865281050074,0.8094664760213,9.72242542435279,5.39129635727983,70.6553455952958
"72","1","0","0","1","0","0","3",27271.8425369593,2.2466123224842,0.0654937288896854,0.217043505831347,0.355499797850425,0.84666950503499,1.41494324910912,103.353644954232
"8","0","0","0","1","1","0","3",76245.1076816927,3.10066718449585,0.116418741030383,0.122377345542648,1.0552815869798,28.7998788078996,27.7611258098633,54.1817588558362
"9","0","0","1","1","1","0","3",51246.5477761984,1.3638403434064,0.609229988187569,1.43477246116868,0.688017838965668,-2.75450795479492,-0.0343561071538566,67.2480914201397
"10","0","0","1","1","1","0","3",29616.8285090484,1.24229549901141,0.324945543172368,0.845287385428463,0.41156825592576,20.4897504471371,4.00821976481126,109.0942592781
"11","1","1","0","1","0","1","2",294229.410841499,13.9395788634206,0.309250343129753,0.343475430847073,0.0967237851440206,518.038422887475,24.1080916285601,129.858621574372
"12","1","0","1","0","1","0","3",154098.468773639,15.3921783920148,2.65127267551801,2.61200592463426,2.17187652788644,10.5483829103254,5.99914226180248,58.4493450964507
"13","1","0","0","0","0","0","3",21300.1847275144,0.575075945109107,0.0870449611687445,0.238049144920913,0.317638946389498,3.74978717518305,1.45900973015562,126.762806593335
"14","0","1","0","0","0","0","3",62410.8782776211,3.04311080872438,0.114593663695149,0.119201699767445,0.842407477739607,20.1200823856818,2.8692121140287,156.735035000423
"15","0","0","0","1","1","0","3",32507.6045866642,1.38697856309547,0.193327957179011,0.358102511201002,0.417489652930209,4.31670605757415,0.239690307601045,56.3815259424379
"16","1","0","0","1","0","0","3",18202.9575297789,0.209251341211966,0.247090516774152,0.54110281700825,0.266633846036875,14.6830590385951,0.789105645869198,145.25362577624
"171","0","0","1","0","0","1","3",16495.3615404665,1.1826872835299,0.191427396760555,0.244277584244264,0.233153475440945,9.23585367108695,0.605011515093502,169.365415449091
"181","0","1","1","1","0","0","3",34655.1482511197,1.95127608489852,0.0714110855248538,0.169492702959783,0.494442337226028,19.4529088119034,0.250664888550355,101.353408018988
"191","1","1","1","0","0","0","3",25805.657331559,0.619111487564078,0.0897018573883425,0.188957948545015,0.353946862011972,-1.33927001106807,1.92607649418088,428.193258927966
"20","0","0","0","0","1","0","3",21839.9178957109,3.69131445057397,0.596361300527707,0.589341684997837,0.33812404479956,-0.00490852797712904,2.85749388961684,98.2993332860279
"90","0","1","0","1","0","0","3",23100,2.35,0.290908425,0.675178241,0.326506653,10.25,1.66097947,46.1
"76","0","0","1","0","0","0","4",5000,0.203,0.028,0.063,0.001435044,1.47,0.895756715,46.15
"32","0","1","1","0","1","0","3",75446,2.89,0.11,0.11,1.066390517,28.05,28.05,52.449
"98","0","0","0","1","1","1","3",26330,1.156,0.0572,0.095,0.372161047,0.037,0.01,53.851
"24","0","1","0","0","0","1","3",133610,9.92,0.467,2.044,0.053,1088.91,9.607076495,54.75
"48","1","1","0","0","0","0","3",153000,15.3,2.625,2.625,2.162576533,6,6,57.31
"100","0","1","0","0","0","1","3",30000,1.2276,0.2145,0.3575,0.424034614,1.5,0.03,58.8
"86","0","0","0","1","0","0","2",145000,8.13,0.27,0.45,2.051263083,5.91,0.9,60.72
"21","1","0","0","1","0","1","3",48800,1.52,0.61455979,1.426350569,0.689762973,0.04,0.008,65
"38","1","0","1","0","1","0","2",57408,5.741,0.9579,0.9579,0.812130421,5.24,5.24,74.307
"22","1","0","1","0","1","0","2",8940,0.137,0.09,0.1,0.126470979,0.032,0.032,76.375
"46","0","1","0","1","0","1","2",63000,6.3,1.5719,1.5719,0.891238443,5.81,5.81,95.7
"47","0","0","1","0","0","1","3",23000,3.9,0.6,0.6,0.325093204,2.78,2.78,97.79
"91","1","1","0","0","0","0","3",34000,1.91,0.063,0.15,0.480572563,13.08,0.21,100
"71","0","1","1","1","0","0","3",24960,2.328,0.0799,0.1563,0.352796799,1,1.794720674,103.71
"101","1","1","1","1","1","0","3",29094,1.347,0.366393495,0.850373841,0.411228769,17.75,4,107.618
"95","0","1","0","1","1","1","3",6735,0.2455,0.0429,0.0715,0.095195771,0.64,0.484272586,115.63
"75","1","1","0","0","1","0","3",21000,0.7467,0.095,0.205,0.29682423,9.167,1.509981337,125.5
"80","0","0","1","0","1","0","2",293143,14.05,0.314,0.314,0.1108,516.8486632,24.0517964,126.374
"141","1","0","1","0","1","0","3",19048,0.4343,0.239879813,0.556744378,0.269233711,22,0.713,138.5
"52","0","1","0","1","0","0","3",60000,3,0.12,0.12,0.848069229,14.46,2.89,151.2
"93","0","0","1","0","0","1","3",15000,0.558,0.0975,0.1625,0.212017307,10.72,0.105,185.82
"77","0","1","0","1","1","0","3",25000,0.8021,0.1021,0.21,0.353362179,1.5625,1.797596829,424.26
"161","0","1","0","1","0","0","3",150000,3.42,1.889015749,4.38427429,0.05,80.6,1.675,433.692
"111","0","1","0","1","0","0","3",120,0.0058,3e-04,0.0085,0.001696138,0.170399887,0.008628465,660.82
"87","1","1","0","0","0","0","1",303367,16.4425,0.546,0.91,1.368,21.3081,1.4964,674.409
