"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Fe","Cu","Cr","Zn","Ni","NH3N","HW17"
"3673","1","1","0","1","1","0","0","0","0","0","0","1",47.05217105,7.381935484,0.002629521,804,3.687641985,0.058166612,0.490423257,0.030108441,0.01345314,0.091049755,0.012204069,3.323289481,22.5
"4510","2","0","1","0","0","0","0","0","0","1","0","1",1.915,7.893870968,0.000188891,57.755,0.264900203,0.004178374,0.035229347,0.002162827,0.000966401,0.006540521,0.000876674,0.026855502,3.666
"4370","3","0","1","0","0","0","0","0","0","1","0","1",8.28125,7.473833334,0.000168,261,1.197107659,0.018882445,0.159204565,0.009774009,0.004367251,0.029557197,0.003961769,0.121362411,2.75
"1858","3","1","0","1","1","0","0","0","0","0","0","1",278.7722164,7.473833334,0.039210241,11988.89,54.98847527,0.867354621,7.312973236,0.448963662,0.200607232,1.357693409,0.181981636,5.574714934,37.7
"3967","1","0","1","0","0","0","0","0","0","1","0","1",2.398494042,8.014111111,0.003151,386.631336,1.77333078,0.027971437,0.235837064,0.01447869,0.01,0.043784438,0.00586875,0.016909751,1.08
"1363","3","1","0","1","1","0","0","0","0","0","0","1",70.31569916,7.473833334,0.009890137,3024,13.86993702,0.218775915,1.844577026,0.113243688,0.050599869,0.342455796,0.04590187,1.406130005,1.55
"4763","2","0","1","0","0","0","0","0","0","1","0","1",1.1603,7.473833334,5.89e-05,18,0.082559149,0.001302238,0.010979625,0.00067407,0.00030119,0.002038427,0.000273225,0.008369821,2.45
"1762","1","0","1","0","0","0","0","0","0","1","0","1",22.31128295,7.9305,0.003138156,959.52,4.400953032,0.069417945,0.585287218,0.035932402,0.036920843,0.108661768,0.014564736,0.446167283,1.41
"3701","4","1","0","1","1","0","0","0","0","0","0","1",48.283773,8.208709677,0.013945617,4264,19.55734506,0.020152,2.600951204,0.159679591,0.010672,0.482880792,0.153945,1.18835,37.676
"4302","3","1","0","1","1","0","0","0","0","0","0","1",146.0628675,7.748064516,0.020544229,6281.586,28.81124411,0.454450966,3.831636648,0.235234776,0.011876397,0.711364264,0.000490085,2.920875184,35
"140","2","0","1","0","0","0","0","0","0","1","0","1",7.75,6.755806452,0.001144692,350,1.605316785,0.025321286,0.213492711,0.003338382,0.005856466,0.039636087,5.8e-05,2.63,4.45
"684","1","0","1","0","0","0","0","0","0","1","0","1",7.136369141,7.473833334,0.001003754,306.907,1.407665595,0.022203657,0.187206879,0.011493148,0.004,0.034755979,0.0046586,0.142708711,3.3
"612","1","0","1","0","0","0","0","0","0","0","0","0",22.35467221,7.473833334,0.003144259,961.386,4.409511664,0.069552944,0.586425439,0.015,0.016086642,0.108873085,0.009813967,0.447034954,0.207
"4325","3","1","0","1","1","0","0","0","0","0","0","1",235.476583,7.313225806,0.007649812,2339,22.330896,1.642809,1.426741291,0.087591596,0.039137928,0.26488231,0.035504125,1.11631,32.37
"380","3","1","0","1","1","0","0","0","0","0","0","1",11.70547118,7.280333333,0.001646414,503.406,2.308931718,0.036419679,0.307067177,0.018851704,0.032,0.057008698,0.007641295,0.234078797,24.95
"1887","3","0","1","0","0","0","0","0","0","1","0","1",9.035474331,7.473833334,0.00127087,388.58,1.782268561,0.028112416,0.237025708,0.014551664,0.006502016,0.044005117,0.00589833,0.180685846,2.821
"781","1","0","1","0","0","0","0","0","0","1","0","1",367.7310164,7.473833334,0.051722593,15814.656,72.53580777,1.144135525,9.646610825,0.592232131,0.26462286,1.790945968,0.240053664,7.353658177,1.9
"2634","4","1","0","1","1","0","0","0","0","0","0","1",27.00153308,7.473833334,0.003797856,1161.2291,5.3261159,0.084010899,0.708325569,0.043486067,0.170366649,0.131504509,0.017626517,0.539960013,8.02
"4098","1","1","0","1","1","0","0","0","0","0","0","1",0.01999719,7.473833334,2.81e-06,0.86,0.003944493,6.22e-05,0.000524582,3.22e-05,1.44e-05,9.74e-05,1.31e-05,0.000399891,0.691
"4565","2","0","1","0","0","0","0","0","0","1","0","1",53.96620623,7.583666667,0.017,2320.873,10.64496109,0.167907114,1.415684199,0.08691277,0.262,0.262829501,0.035790407,1.079182925,7.15
"2768","1","0","1","0","0","0","0","0","0","0","0","0",2.232244418,7.473833334,0.000313973,96,0.440315461,0.006945267,0.058558001,0.003595038,0.001606345,0.010871613,4.273830913,0.044639048,0.6
"2537","1","0","1","0","0","0","0","0","0","0","0","0",0.34878819,7.473833334,4.91e-05,15,0.068799291,0.001085198,0.009149688,0.000561725,0.000250991,0.001698689,0.000227688,0.006974851,0.1105
"2943","2","1","0","1","1","0","0","0","0","0","0","1",158.7031,8.564,0.01495686,4573.1968,20.97551309,0.330854931,2.789554813,0.171258489,0.8469,2.705195444,0.069417422,2.126491151,28.99
"290","2","1","0","1","1","0","0","0","0","0","0","1",18.12373194,7.473833334,0.002549163,779.43,3.574948747,0.056389058,0.475436069,0.029188336,0.004081566,0.088267302,0.002186046,0.362427219,12.02
"4465","3","0","1","1","0","0","0","0","0","1","1","0",8.799,7.666,0.001516491,463.681,2.126728263,0.033545713,0.282835754,0.01736407,0.007758663,0.052510002,0.001584971,0.215607066,32.94
"4041","3","1","0","1","1","0","0","0","0","0","0","1",715.8848057,7.749086022,0.02801002,8564.32,39.28127613,0.619598856,5.224056851,0.64,0.14330472,0.061921996,0.16,13.59002758,17.8
"3517","1","0","1","0","0","0","0","0","0","0","0","0",16.60231786,7.473833334,0.002335171,714,3.274846241,0.051655424,0.435525131,0.026738093,0.011947191,0.080857618,0.010837941,0.332002918,0.7
"1172","1","0","1","0","0","0","0","0","0","1","0","1",29.046,7.676774194,0.002522132,771.165,3.537040338,0.055791114,0.470394591,0.028878826,0.002,0.087331324,0.01170566,0.358584076,2.455
"575","2","1","0","1","1","0","0","0","0","0","0","1",47.41052292,7.473833334,0.006668448,2038.939,9.351837142,0.147510167,1.24371033,0.076354819,0.034117079,0.230901613,0.030949442,0.948086411,31.4
"728","2","0","1","0","0","0","0","0","0","1","0","1",5.897729267,7.121290323,0.000829535,253.638,1.163340967,0.01834983,0.154713898,0.009498314,0.004244064,0.02872348,0.003850019,0.117939154,3.78
"4757","2","0","1","0","0","0","0","0","0","1","0","1",0.1541,7.473833334,3.92e-05,12,0.055039433,0.000868158,0.00731975,0.00044938,0.000200793,0.001358952,0.00018215,0.005579881,1.355
"2172","2","1","0","1","1","0","0","0","0","0","0","1",82.963512,7.574415323,0.048182278,3172,5.557583739,0.16,1.934853944,0.07,0.053076318,0.359216199,0.013610813,0.986903,31.68
"4694","1","0","1","0","0","0","0","0","0","0","0","0",40.59801524,7.473833334,0.005710246,1745.96,8.008053981,0.126314152,1.064999241,0.06538325,0.029214732,0.197722924,0.026502258,0.811854082,0.2208
"2908","3","0","1","0","0","0","0","0","0","1","0","1",16.20414126,7.857666667,0.002279166,696.876,3.19630497,0.19,0.425079848,0.026096828,0.01166066,0.304,0.010578013,0.324040428,3.45
"2902","3","0","1","0","0","0","0","0","0","1","0","1",20.62640347,7.66,0.002901172,887.06,4.068606591,0.474681414,0.541088127,0.033218897,0.014842963,0.362,0.013464852,0.412474101,2.62
"2637","4","1","0","1","1","0","0","0","0","0","0","1",41.97656569,7.473833334,0.005904144,1805.246,8.279976298,0.130603289,1.101162466,0.067603411,0.264851881,0.204436824,0.027402172,0.839421484,9.984
"1178","1","0","1","0","0","0","0","0","0","1","0","1",20.099,8.313548387,0.001587511,485.396,2.226326703,0.035116718,0.296081452,0.01817726,0.009457713,0.054969138,0.007367918,0.225704325,6.85
"126","2","0","1","0","0","0","0","0","0","1","0","1",8.5288,6.908387097,0.000830719,254,1.165001324,0.018376019,0.154934711,0.002422712,0.004250121,0.028764475,3.86e-05,1.33,3.83
"917","1","0","1","0","0","0","0","0","0","1","0","1",20.08178234,8.444516129,0.00282457,863.638,3.961178792,0.062481215,0.526801195,0.032341783,0.014451048,0.097803518,0.013109325,0.401583104,1.5
"1761","1","0","1","0","0","0","0","0","0","1","0","1",17.61015296,7.901666667,0.002476927,757.343,3.473644085,0.05479114,0.461963459,0.028361215,0.009,0.085766038,0.011495853,0.352156983,1.11
"4099","1","1","0","1","1","0","0","0","0","0","0","1",0.151722863,7.473833334,2.13e-05,6.525,0.029927691,0.000472061,0.003980114,0.00024435,0.000109181,0.00073893,9.9e-05,0.00303406,1.26
"1248","2","1","0","1","1","0","0","0","0","0","0","1",33.32,7.347666667,0.002609799,797.97,3.65998467,0.057730363,0.486745083,0.065528079,0.03,0.77,0.32,5.42,19.65
"3169","3","1","0","1","1","0","0","0","0","0","0","1",17.231987,7.192333333,0.004788082,1464,6.714810779,0.075426,0.893009513,0.054824325,0.024496762,0.165792092,0.028668407,0.348942,31.239
"4716","2","1","0","1","1","0","0","0","0","0","0","1",323.6726782,7.628,0.031363976,13919.8812,63.84519694,1.007055139,8.490837655,0.521276018,0.054881572,1.576370369,0.061,6.472606689,11.054
"750","2","0","1","0","0","0","0","0","0","1","0","1",12.66240646,7.473833334,0.00178101,544.56,2.497689452,0.039397028,0.33217026,0.020392851,0.007207598,0.061669222,0.00826598,0.253214999,3.4
"1251","2","1","0","1","1","0","0","0","0","0","0","1",94.89605116,8.232016129,0.010988442,3359.8166,15.41019995,0.243071081,2.049418159,0.2266,0.2591,2.446,0.5137,12.77039924,20.373
"4583","1","0","1","0","0","0","0","0","0","1","0","1",2.926449179,7.425362903,0.000411615,125.855,0.577248983,0.009105173,0.076768929,0.004713057,0.002105902,0.014252571,0.001910377,0.058521327,1.388
"2853","4","0","1","0","0","0","0","0","0","1","0","1",104.9873,6.800645161,0.004560706,1394.4776,6.395937992,0.100885619,0.850602297,0.052220829,0.023333461,0.15791896,0.02116704,0.63,5.2
"4628","1","0","1","0","0","0","0","0","0","1","0","1",7.622556625,7.065217391,0.002741334,327.816,1.50356722,0.023716351,0.199960933,0.012276155,0.006753498,0.037123839,0.01,0.152431188,2.6
"4225","2","1","0","1","1","0","0","0","0","0","0","1",4.273957473,7.473833334,0.000601146,183.806,0.843048163,0.013297727,0.112117832,0.006883224,0.003075582,0.020815288,0.002790026,0.085467967,11.4845
"1503","3","0","1","0","0","0","0","0","0","1","0","1",6.193082,6.653225806,0.001111,608.618,2.791499117,0.044031402,0.371244306,0.022791715,0.01018386,0.046088,0.009238328,0.283001333,4.39
"1048","5","1","0","1","1","0","0","0","0","0","0","1",24.238811,7.504666667,0.00524923,1605,2.095769,0.012987,0.979016576,0.060104537,0.026856082,0.181759773,0.0243626,0.247475,17.268
"2136","2","0","1","0","0","0","0","0","0","1","0","1",1.40996,7.33,0.000186421,57,0.460297587,0.000320419,0.034768813,0.002134554,0.000953767,0.00645502,0.000865214,0.03916,5.86
"1990","1","0","1","0","0","0","0","0","0","1","0","1",22.13974218,7.473833334,0.003114029,952.14271,4.367116211,0.068884224,0.580787225,0.035656135,0.015931976,0.107826319,0.014452755,0.442736916,1.475
"1921","1","0","1","0","0","0","0","0","0","1","0","1",0.696762541,8.27952381,9.8e-05,29.965,0.13743805,0.002167864,0.018278026,0.001122139,0.000501397,0.003393415,0.000454844,0.013933428,1
"3070","3","0","1","1","0","0","0","0","0","1","1","0",154.56,6.938,0.015865265,4850.95,22.2494613,0.350949412,2.958978481,0.181659877,0.081169787,0.54935051,0.07363349,22.03,18.731
"1637","3","0","1","1","0","0","0","0","0","1","1","0",0.024508184,7.07483871,3.45e-06,1.054,0.004834297,7.63e-05,0.001,3.95e-05,1.76e-05,0.004,1.6e-05,0.001,1.96
"2051","3","1","0","1","1","0","0","0","0","0","0","1",137.875,8.045483871,0.001479429,9078,41.63733077,0.656761823,5.537390954,0.339955753,0.582284,0.576734,0.033178,4.221179957,29.895
"1202","1","0","1","0","0","0","0","0","0","1","0","1",16.046,7.898709677,0.002004869,613.007,2.811629789,0.044348931,0.373921504,0.022956076,0.0102573,0.069420569,0.00930495,0.285042175,6.45
"418","2","1","0","1","1","0","0","0","0","0","0","1",71.09503149,7.473833334,0.009999753,3057.516,14.02366215,0.221200681,1.865021088,0.212,0.01,0.211,0.003,1.421714613,37.601
"2266","1","1","0","1","1","0","0","0","0","0","0","1",5.02254994,7.473833334,0.000706438,216,0.990709787,0.015626851,0.131755502,0.008088835,0.003614276,0.024461128,0.003278705,0.100437858,11.8
"2654","1","0","1","0","0","0","0","0","0","1","0","1",5.470835774,7.473833334,2.052296967,235.279,1.079135222,0.01702162,0.14351529,0.008810801,0.003936867,0.026644397,0.003571345,0.109402401,0.3
"1708","3","1","0","1","1","0","0","0","0","0","0","1",92.300547,7.473833334,0.015420634,4715,21.6259104,0.341113901,2.876051812,0.176568779,0.078894968,0.533954722,0.07156988,2.192428233,8.302
"2528","2","0","1","0","0","0","0","0","0","1","0","1",58.07986779,7.322580645,0.001412877,432,1.981419574,0.031253702,0.263511004,0.045844135,0.007228553,0.048922257,0.00655741,0.299448447,3.12
"3971","1","0","1","0","0","0","0","0","0","1","0","1",1.687016981,8.014111111,0.013524,271.942985,1.247298967,0.019674132,0.165879558,0.010183805,0.007033651,0.030796446,0.004127874,0.011893728,1.4
"4162","1","0","1","0","0","0","0","0","0","1","0","1",0.747336829,7.473833334,0.000105115,32.14,0.147413947,0.002325218,0.019604731,0.001203589,0.000537791,0.003639725,0.000487859,0.014944781,2.32
"2940","2","1","0","1","1","0","0","0","0","0","0","1",70.15,8.464,0.012260107,3748.64,17.19358489,0.271201106,2.286592336,0.140380231,0.08,2.217443135,0.056901318,1.743080418,8.2
"3639","3","0","1","0","0","0","0","0","0","0","0","0",480.423595,8.038673379,0.007652969,2339.96538,10.73253057,0.169288382,1.427330153,0.087627748,0.039154082,0.264991636,0.035518778,9.948246,0.75
"4864","3","1","0","1","1","0","0","0","0","0","0","1",26.590237,7.590967742,0.007829692,2394,10.98036681,0.173197599,1.460290146,0.089651253,0.04005823,0.271110838,0.062824,1.675008,14.42
"936","4","0","1","0","0","0","0","0","0","1","0","1",320.989135,7.817777778,0.025802214,7889.262866,36.18504599,0.570760813,4.812286057,0.295439557,0.000155,0.893427181,0.006675,78.750039,6
"761","2","1","0","1","1","0","0","0","0","0","0","1",11.37705222,7.473833334,0.00160022,489.282,2.244150306,0.035397856,0.298451831,0.018322784,0.006475959,0.055409212,0.007426904,0.227511277,14.04
"3578","1","0","1","0","0","0","0","0","0","1","0","1",41.39069454,7.824516129,0.005821739,1780.05,8.164411836,0.128780445,1.085793431,0.066659863,0.029785151,0.201583479,0.027019717,0.827705594,2.2
"2811","2","0","1","0","0","0","0","0","0","1","0","1",24.238,7.190967742,0.004841523,1480.34,6.78975614,0.107097466,0.902976572,0.05543623,0.319,0.412,0.022470362,0.688343417,9.348
"175","1","0","1","1","0","0","0","0","0","1","1","0",21.503012,7.341774194,0.00437,1602.290936,7.349098667,0.115920193,0.977364104,0.020769,0.000869,0.021803,0.000119,0.310123,13.94
"440","1","0","1","0","0","0","0","0","0","1","0","1",16.6360108,6.924672043,0.00233991,715.449,3.281492252,0.051760254,0.436408991,0.077,0.019561713,0.081021712,0.026082284,0.332676689,1.3
"733","2","0","1","0","0","0","0","0","0","1","0","1",4.111538439,8.159666667,0.000578302,176.821,0.811010626,0.012792386,0.107857128,0.006621648,0.002958704,0.020024265,0.002684,0.082220011,7.72
"1594","2","1","0","1","1","0","0","0","0","0","0","1",26.33141564,7.473833334,0.003703601,1132.41,5.193933657,0.081925937,0.690746518,0.04240684,0.018948346,0.128240862,0.017189066,0.526559418,24.357
"3064","3","0","1","1","0","0","0","0","0","1","1","0",7.82,7.283333333,0.002785526,851.7,3.90642373,0.061617542,0.519519264,0.031894725,0.014251293,0.096451588,0.012928116,0.98,16.767
"2698","3","0","1","0","0","0","0","0","0","0","0","0",1.1734,7.175806452,0.000225668,69,0.316476738,0.004991911,0.042088563,0.002583933,0.001154561,0.0082,8.34e-05,0.032084316,0.724
"582","3","1","0","1","1","0","0","0","0","0","0","1",14.58987976,7.445925926,0.002052115,627.453,2.877888093,0.045394049,0.382733264,0.032012852,0.001176804,0.02523044,0.000789383,0.291759421,26.97
"4014","2","0","1","0","0","0","0","0","0","1","0","1",93.5776392,7.804193548,0.013162007,4024.404,18.4584094,0.291151675,2.454802633,0.150707126,0.067339391,0.455747512,0.061087192,1.871307943,10.2
"2755","1","0","1","0","0","0","0","0","0","0","0","0",4.464488835,7.473833334,0.000627945,192,0.880630922,0.013890534,0.117116002,0.007190075,0.00321269,0.021743225,0.002914404,0.089278096,0.153
"1160","1","0","1","0","0","0","0","0","0","0","0","0",26.722,7.802666667,0.002013425,615.623,2.823628385,0.044538189,0.37551721,0.023054041,0.011995124,0.06971682,0.009344658,0.286258589,0.461
"2769","1","0","1","0","0","0","0","0","0","0","0","0",1.348647669,7.473833334,0.000189692,58,0.266023924,0.004196099,0.035378792,0.002172002,0.0009705,0.006568266,2.582106177,0.026969425,0.8985
"4199","2","0","1","1","0","0","0","0","0","1","1","0",0.350229848,7.473833334,4.93e-05,15.062,0.069083661,0.001089683,0.009187506,0.000564046,0.000252029,0.001705711,0.000228629,0.007003681,5.582
"4688","1","0","1","0","0","0","0","0","0","1","0","1",0.210458794,7.473833334,2.96e-05,9.051,0.041513492,0.000654808,0.005520922,0.000338945,0.000151448,0.001024989,0.000137387,0.004208625,1.48
"518","1","0","1","0","0","0","0","0","0","0","0","0",2.425961379,7.473833334,0.00034122,104.331,0.478526587,0.007547986,0.063639737,0.00390702,0.001745746,0.011815065,0.00158366,0.04851288,0.3
"4548","2","0","1","1","0","0","0","0","0","1","1","0",100.96,7.095806452,0.008142455,2489.63,11.41898522,0.180116098,1.85,0.093232435,0.041658384,2.74,0.037790566,1.157653256,26.1
"764","2","1","0","1","1","0","0","0","0","0","0","1",14.87186338,7.473833334,0.002091777,639.58,2.933510026,0.046271395,0.390130481,0.02395119,0.008465249,0.072429854,0.009708306,0.297398356,15.12
"3891","1","0","1","0","0","0","0","0","0","1","0","1",1.0059,6.895517241,0.000204834,93.8997,0.430682184,0.006793318,0.057276862,0.003516385,0.001571201,9e-04,0.001425321,0.043662429,8.321
"927","1","0","1","0","0","0","0","0","0","1","0","1",13.90144163,7.504642857,0.001955284,597.846,2.742092053,0.043252085,0.36467361,0.022388322,0.010003614,0.067703647,0.009074818,0.27799246,10
"3265","1","1","0","1","1","0","0","0","0","0","0","1",4.464488835,7.473833334,0.000627945,192,0.880630922,0.013890534,0.117116002,0.007190075,0.00321269,0.021743225,0.002914404,0.089278096,11.7
"2651","1","0","1","0","0","0","0","0","0","1","0","1",1.533086864,7.473833334,0.575113136,65.932,0.302404989,0.004769952,0.040217147,0.002469042,0.001103224,0.007466533,0.001000794,0.030657726,1
"4243","2","0","1","0","0","0","0","0","0","0","0","0",5.472021654,7.413870968,0.000769658,235.33,1.07936914,0.01702531,0.143546399,0.008812711,0.003937721,0.026650173,0.003572119,0.109426116,0.369
"557","2","0","1","1","0","0","0","0","0","1","1","0",23.0149515,7.473833334,0.00323713,989.782,4.539753308,0.071607296,0.603746408,0.037065663,0.016561786,0.112088817,0.01363627,0.460238813,22.97
"2559","1","0","1","0","0","0","0","0","0","1","0","1",3.51166649,7.473833334,0.000493928,151.022881,0.692684474,0.010925982,0.092120812,0.005655552,0.00252703,0.017102732,0.002292405,0.070224142,2
"3066","3","0","1","1","0","0","0","0","0","1","1","0",14.76,7.801538462,0.012589419,3849.33,17.6554116,0.278485678,2.348011139,0.144150901,0.064409919,0.435921088,0.05842971,7.31,20.024
"1045","5","1","0","1","1","0","0","0","0","0","0","1",19.24717,7.800333333,0.004366182,1335,2.300112,0.020667,0.814322199,0.049993493,0.022338236,0.151183362,0.020264218,0.165185,20.699
"2080","5","0","1","0","0","0","0","0","0","0","0","0",1511.613,7.475564516,0.105679834,32312.576,148.2054875,3.913,19.70999846,1.210051344,0.540678614,3.659268827,0.490478722,15.02502734,0.3
"414","2","1","0","1","1","0","0","0","0","0","0","1",64.41036631,7.473833334,0.009059533,2770.035,12.70509623,0.200402427,1.689663665,0.08528376,0.007069429,0.204,0.002138123,1.288038799,36.69
"3512","1","0","1","0","0","0","0","0","0","0","0","0",34.41376811,7.473833334,0.004840411,1480,6.788196689,0.107072868,0.90276918,0.055423498,0.024764486,0.167604027,0.022465201,0.68818532,0.493
"18","2","1","0","1","1","0","0","0","0","0","0","1",62.73536915,7.473833334,0.008823939,2698,12.3746991,0.195190945,1.645723815,0.101035539,0.045144989,0.305537612,0.040953454,1.254543239,19.41
"2525","2","0","1","0","0","0","0","0","0","1","0","1",49.97037214,7.320333333,0.001215602,371.6813,1.704760656,0.026889853,0.226717853,0.039443073,0.006219254,0.042091407,0.005641821,0.257637472,2.58
"467","2","1","0","1","1","0","0","0","0","0","0","1",12.34461391,6.574736842,3.36e-05,530.893,2.435004125,0.038408268,0.323833674,0.019881045,0.008883306,0.06012149,5.13e-05,0.246859979,37.97
"3061","3","0","1","1","0","0","0","0","0","1","1","0",113.42,7.359285714,0.019077794,5833.21,26.75471406,0.422012517,3.558136625,0.218443853,0.097605709,0.660587491,0.088543401,16.2,16.95
"847","1","0","1","0","0","0","0","0","0","1","0","1",13.73739491,7.766,0.00193221,590.791,2.709733453,0.04274168,0.360370207,0.022124124,0.009885565,0.066904696,0.008967729,0.274711955,4
"4420","3","1","0","1","1","0","0","0","0","0","0","1",514.614,6.074333333,0.005339785,1632.688,16.116,0.469,0.99590568,0.061141405,0.027319378,0.184895327,0.024782881,0.061,13.602
"2115","3","1","0","1","1","0","0","0","0","0","0","1",38.49849,7.263333333,0.004828901,1732,7.944024774,0.017389,1.056483932,0.005532353,0.028981142,0.19614201,0.013797288,0.13869,38.02
"3428","3","1","0","1","1","0","0","0","0","0","0","1",12.784306,6.973333333,0.00250524,766,0.980904,0.007025,0.467244048,0.028685405,0.012817295,0.086746409,0.011627259,0.179932,30.41
"703","1","1","0","1","1","0","0","0","0","0","0","1",7.050916034,7.473833334,0.000991735,303.232,1.390809769,0.021937784,0.184965205,0.011355526,0.005,0.0343398,0.004602816,0.140999872,15.18
"610","1","0","1","0","0","0","0","0","0","0","0","0",24.02829746,7.473833334,0.00337966,1033.362,4.739638181,0.074760158,0.630329301,0.032,0.017290999,0.117024076,0.001,0.48050308,0.055
"985","4","0","1","0","0","0","0","0","0","1","0","1",325.667914,7.369354839,0.01813846,5546,25.43739111,0.40123387,3.382944507,0.190238,0.092799893,0.628062118,0.084183786,8.699194,2.375
"4200","2","0","1","1","0","0","0","0","0","1","1","0",4.040083365,7.473833334,0.000568251,173.748,0.796915945,0.012570065,0.105982662,0.006506569,0.002907284,0.01967626,0.002637354,0.080791097,13.274
