"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Ni","NH3N","HW17logic"
"24","5","1","1","1","1","0","0","0","0","1","0","0",261.078614,7.414642857,27375,174.4205729,1.426325029,0.230402747,0.786636006,11.72271911,"1"
"25","5","1","1","1","1","0","0","0","0","1","0","0",293.184564,7.247741935,28201,179.6834549,2.621044,0.410607,0.881914,10.604781,"1"
"26","5","1","1","1","1","0","0","0","0","1","0","0",18.396774,7.490909091,8414,53.61003472,0.438396303,0.070816756,0.241781017,3.603103509,"1"
"27","5","1","1","1","1","0","0","0","0","1","0","0",62.339067,7.453,25998,165.6469792,1.354578926,0.218813173,0.747067137,11.13305028,"1"
"28","5","1","1","1","1","0","0","0","0","1","0","0",426.02781,7.269032258,33129,211.0823438,2.435899,0.647511,1.063782,15.938357,"1"
"29","5","1","1","1","1","0","0","0","0","1","0","0",64.73453,7.41,26213,167.0168576,1.365781114,0.220622729,0.753245283,11.22511912,"1"
"30","5","1","1","1","1","0","0","0","0","1","0","0",359.750262,7.388504767,30888,196.80375,1.609363562,0.259970047,0.887584034,13.2270812,"1"
"31","5","1","1","1","1","0","0","0","0","1","0","0",498.056125,7.211935484,31679.56241,201.8472119,0.988622,0.194002,0.271864,19.561039,"1"
"32","5","1","1","1","1","0","0","0","0","1","0","0",502.195952,7.562,29057,185.1374826,1.950574,0.311177,0.885761,18.900849,"1"
"33","5","1","1","1","1","0","0","0","0","1","0","0",423.318692,7.29,29592.74526,188.5509984,0.979635,0.167193,0.200567,13.880201,"1"
"34","5","1","1","1","1","0","0","0","0","1","0","0",283.319976,7.417157192,27623,176.0007118,1.439246622,0.232490048,0.793762425,11.82891945,"1"
"35","5","1","1","1","1","0","0","0","0","1","0","0",307.983097,7.404193548,35081,223.519566,1.827832268,0.295260594,1.008072245,15.02263777,"1"
"36","5","1","1","1","1","0","0","0","0","1","0","0",346.06456,7.383548387,29665,189.0113715,1.503534,0.357996,1.024275,8.989638,"1"
"37","5","1","1","1","1","0","0","0","0","1","0","0",558.108842,7.4,34594,220.4166319,1.802458011,0.291161739,0.994078027,14.81409113,"1"
"38","5","1","1","1","1","0","0","0","0","1","0","0",359.427584,7.388064516,35099,223.6342535,1.828770126,0.295412091,1.008589485,15.03034586,"1"
"39","5","1","1","1","1","0","0","0","0","1","0","0",436.676773,7.311,35817.54373,228.2124748,1.917049,0.208758,0.966628,13.876207,"1"
"40","5","1","1","1","1","0","0","0","0","1","1","0",2279.783873,7.47,119605,1105.528729,3.173335,14.586047,0.914483227,41.389621,"0"
"41","5","1","1","1","1","0","0","0","0","1","1","0",2384.301598,7.476666667,116627,557.353881,3.818803,11.740446,0.891713852,35.61153,"0"
"42","5","1","1","1","1","0","0","0","0","1","1","0",2883.204009,7.38516129,133509,0.493347,0.05264,11.905802,1.020791281,72.511011,"0"
"43","5","1","1","1","1","0","0","0","0","1","1","0",1741.769455,7.408580645,90262,431.3570272,2.394812623,5.01632,0.690130722,60.98907,"0"
"44","5","1","1","1","1","0","0","0","0","1","1","0",2093.529811,7.408580645,99355,474.8119633,2.636066209,7.841899,0.759654538,33.436129,"0"
"45","5","1","1","1","1","0","0","0","0","1","1","0",2273.200006,7.408580645,131564,628.7369649,3.490628702,10.175016,1.005920081,199.423208,"0"
"46","5","1","1","1","1","0","0","0","0","1","1","0",2226.577013,7.408580645,126385,603.9868148,3.353220551,5.483056,0.966322166,98.415029,"0"
"47","5","1","1","1","1","0","0","0","0","1","1","0",2186.709576,7.408580645,119581,571.470881,3.172698237,8.544846,0.914299726,76.920808,"0"
"48","5","1","1","1","1","0","0","0","0","1","1","0",2501.153042,7.408580645,126129,602.7634052,3.346428412,16.041666,0.964364825,65.440203,"0"
"49","5","1","1","1","1","0","0","0","0","1","1","0",2286.179604,7.408580645,135207,646.1466572,3.587284021,1.142872,1.033773953,37.737469,"0"
"50","5","1","1","1","1","0","0","0","0","1","1","0",2811.699444,7.408580645,129968,621.1097705,3.448283962,5.463372,0.993717286,34.58191,"0"
"51","5","1","1","1","1","0","0","0","0","1","1","0",3335.970282,7.432,151903,725.9359032,4.030258823,15.766028,1.161429251,98.140673,"0"
"52","5","1","1","1","1","0","0","0","0","1","1","0",2492.300889,7.408580645,126577,604.904372,3.358314655,11.103407,0.967790171,53.03301,"0"
"53","5","1","1","1","1","0","0","0","0","1","1","0",2610.775762,7.284,117889,563.3849081,3.127806445,17.927944,0.901362929,21.29418,"0"
"54","5","1","1","1","1","0","0","0","0","1","1","0",2438.609091,7.408580645,123100,588.2879844,3.266063614,1.753854,0.941205512,27.63214,"0"
"55","5","1","1","1","1","0","0","0","0","1","1","0",2655.559988,7.408580645,128726,615.1743223,3.415331476,13.5559,0.984221127,85.036963,"0"
"56","5","1","1","1","1","0","0","0","0","1","1","0",3060.34989,7.408580645,135854,649.2386338,3.604450091,10.870028,1.038720825,148.577334,"0"
"57","5","1","1","1","1","0","0","0","0","1","1","0",2523.10549,7.408580645,133183,636.4740749,3.533583674,15.212479,1.01829873,58.006824,"0"
"58","5","1","1","1","1","0","0","0","0","1","1","0",2908.780699,7.432666667,138296,660.9088147,3.669240727,18.303638,1.057392018,109.608109,"0"
"59","5","1","1","1","1","0","0","0","0","1","1","0",3112.744618,7.408580645,139916,668.6507036,3.71222223,20.461935,1.069778313,33.450418,"0"
"60","5","1","1","1","1","0","0","0","0","1","1","0",3159.704008,7.330967742,136108,650.4524856,3.611189166,23.718927,1.040662874,22.710496,"0"
"61","5","1","1","1","1","0","0","0","0","1","1","0",3323.97581,7.289677419,145775,696.6505355,3.867672001,20.519916,1.114575414,123.570074,"0"
"62","5","1","1","1","1","0","0","0","0","1","1","0",1954.206144,7.408580645,94210,450.2242974,2.499560138,7.695151,0.720316582,82.675644,"0"
"63","4","1","1","1","1","0","0","0","0","1","1","0",360.214,7.493988095,9184.214,58.51747462,0.914863687,0.553938937,0.070221225,9.456,"0"
"64","4","1","1","1","1","0","0","0","0","1","1","0",536.84,7.493988095,9504.08,60.55550972,0.94672638,0.573231413,0.072666876,48.56,"0"
"65","4","1","1","1","1","0","0","0","0","1","1","0",1196.818,7.493988095,12814.442,81.64757316,1.276480236,0.772893399,0.097977445,10.181,"0"
"66","4","1","1","1","1","0","0","0","0","1","1","0",609.8,7.493988095,13718.27,87.40633837,1.366512918,0.827407103,0.104887988,80.61,"0"
"67","4","1","1","1","1","0","0","0","0","1","1","0",513.176,7.493988095,14627.875,93.20191189,1.457121062,0.882269242,0.111842702,2.555,"0"
"68","4","1","1","1","1","0","0","0","0","1","1","0",776.89,7.493988095,15110.52,96.27709792,1.505198598,0.911379611,0.115532938,88.14,"0"
"69","4","1","1","1","1","0","0","0","0","1","1","0",708.46,7.493988095,13521.35,86.15165712,1.346897199,0.815530021,0.103382365,48.09,"0"
"70","4","1","1","1","1","0","0","0","0","1","1","0",778.2,7.493988095,15862.46,101.0681045,1.580101317,0.956732304,0.121282167,163.53,"0"
"71","4","1","1","1","1","0","0","0","0","1","1","0",117.27,7.493988095,2877.62,18.33483576,0.286647289,0.173561479,0.022001883,1.32,"0"
"72","4","1","1","1","1","0","0","0","0","1","1","0",769.951,7.493988095,13528.517,86.19732186,1.347611123,0.815962294,0.103437163,3.079,"0"
"73","4","1","1","1","1","0","0","0","0","1","1","0",2676.79,7.493988095,26496.78,168.8249698,2.639413873,1.59813329,0.202590702,214.13,"0"
"74","4","1","1","1","1","0","0","0","0","1","1","0",1514.05,7.493988095,19422.51,123.751062,1.934727251,1.171454034,0.148501815,259.54,"0"
"75","4","1","1","1","1","0","0","0","0","1","1","0",672.541,7.493988095,15176.603,96.69814759,1.511781299,0.915365357,0.1160382,8.877,"0"
"76","4","1","1","1","1","0","0","0","0","1","0","0",810.224,7.666521739,19706.216,125.5587026,1.962987951,8.156,0.150670992,39.30022966,"0"
"77","4","1","1","1","1","0","0","0","0","1","0","0",704.0505015,7.666521739,17123.871,109.1052197,1.705753781,7.087220189,0.130926741,34.1502429,"0"
"78","4","1","1","1","1","0","0","0","0","1","0","0",757.3430937,7.666521739,18420.05,117.3638602,1.834869577,7.623682182,0.140837145,36.73522078,"0"
"79","4","1","1","1","1","0","0","0","0","1","0","0",843.7821843,7.666521739,20522.416,130.7591436,2.044291778,8.493808497,0.156911544,40.92798242,"0"
"80","4","1","1","1","1","0","0","0","0","1","0","0",729.0571872,7.666521739,17732.082,112.980453,1.766339277,7.338946289,0.135577037,35.3632019,"0"
"81","4","1","1","1","1","0","0","0","0","1","0","0",782.0690863,7.666521739,19021.434,121.1955951,1.894775017,7.872582727,0.145435244,37.93456464,"0"
"82","4","1","1","1","1","0","0","0","0","1","0","0",769.2283731,7.666521739,18709.123,119.2056969,1.863664898,7.743323588,0.143047357,37.31172087,"0"
"83","4","1","1","1","1","0","0","0","0","1","0","0",663.5143364,7.666521739,16137.953,102.8234158,1.607543899,6.679168881,0.123388548,32.18402047,"0"
"84","4","1","1","1","1","0","0","0","0","1","0","0",434.9683819,7.666521739,10579.273,67.40613179,1.053829179,4.37854485,0.080887653,21.09831023,"0"
"85","4","1","1","1","1","0","0","0","0","1","0","0",926.2377104,7.666521739,22527.894,143.5371024,2.244062711,9.323834848,0.17224515,44.92751973,"0"
"86","4","1","1","1","1","0","0","0","0","1","0","0",1232.331933,7.666521739,29972.698,190.9718779,2.985659197,12.40508705,0.229167088,59.77473885,"0"
"87","1","0","0","0","1","0","0","0","0","0","1","1",7.461,7.493988095,159.683,1.01742467,0.015906443,0.00963116,0.001220914,0.186,"0"
"88","2","0","0","1","1","0","0","0","0","1","1","1",85.5,7.493988095,638.08,4.065544444,0.063560825,0.038485314,0.004878671,0.6,"0"
"89","2","0","0","1","1","0","0","0","0","1","1","1",30.4,7.493988095,242.31,1.543884896,0.024137136,0.014614745,0.001852669,3.38,"0"
"90","2","0","0","1","1","0","0","0","0","1","1","1",117.3,7.493988095,1124.22,7.162998958,0.111986508,0.067806481,0.00859563,1.501,"0"
"91","2","0","0","1","1","0","0","0","0","1","1","1",98.9,7.493988095,1445.52,9.210170833,0.143992045,0.087185448,0.011052245,0.264,"0"
"92","2","0","0","1","1","0","0","0","0","1","1","1",102.3,7.493988095,1293.5,8.241571181,0.128848934,0.078016476,0.009889921,0.426,"0"
"93","2","0","0","1","1","0","0","0","0","1","1","1",62.8,7.493988095,1124.54,7.165037847,0.112018384,0.067825781,0.008598077,0.537,"0"
"94","2","0","0","1","1","0","0","0","0","1","1","1",252.4,7.493988095,1541.06,9.818906597,0.153509036,0.092947871,0.011782731,5.169,"0"
"95","2","0","0","1","1","0","0","0","0","1","1","1",125.1,7.493988095,1282.1,8.168935764,0.12771335,0.077328894,0.009802759,1.762,"0"
"96","2","0","0","1","1","0","0","0","0","1","1","1",107,7.493988095,1202.78,7.663546181,0.119812076,0.072544768,0.009196289,2.121,"0"
"97","2","0","0","1","1","0","0","0","0","1","1","1",153.8,7.493988095,1117.57,7.120628299,0.111324084,0.067405391,0.008544785,1.276,"0"
"98","2","0","0","1","1","0","0","0","0","1","1","1",167.9,7.493988095,1539.1,9.806418403,0.153313795,0.092829655,0.011767745,1.614,"0"
"99","2","0","0","1","1","0","0","0","0","1","1","1",96.8,7.493988095,1402.87,8.938425174,0.139743567,0.084613045,0.010726149,0.205,"0"
"100","2","0","0","1","1","0","0","0","0","1","1","1",88,7.493988095,922.42,5.877224653,0.09188468,0.055635066,0.007052695,0.705,"0"
"101","2","0","0","1","1","0","0","0","0","1","1","1",266,7.493988095,1652.21,10.52710191,0.164580979,0.099651799,0.012632568,10.691,"0"
"102","2","0","0","1","1","0","0","0","0","1","1","1",140.9,7.493988095,997.41,6.355025521,0.099354631,0.060158031,0.007626058,0.207,"0"
"103","2","0","0","1","1","0","0","0","0","1","1","1",195.3,7.493988095,1298.04,8.270497917,0.129301175,0.078290303,0.009924634,36.943,"0"
"104","2","0","0","1","1","0","0","0","0","1","1","1",57.6,7.493988095,336.1,2.141470486,0.033479804,0.020271618,0.002569774,0.296,"0"
"105","4","1","1","1","1","0","0","0","0","1","0","0",87.29,7.493988095,1358.41,8.655147049,0.135314789,0.081931474,0.010386214,21.127,"0"
"106","4","1","1","1","1","0","0","0","0","1","0","0",0.043,7.493988095,0.736,0.004689444,7.33e-05,4.44e-05,5.63e-06,0.004875585,"0"
"107","4","1","1","1","1","0","0","0","0","1","0","0",0.16,7.493988095,3.413,0.021746024,0.000339978,0.000205853,2.61e-05,0.019,"0"
"108","4","1","1","1","1","0","0","0","0","1","0","0",0.023,7.493988095,0.681,0.00433901,6.78e-05,4.11e-05,5.21e-06,0.004511241,"0"
"109","4","1","1","1","1","0","0","0","0","1","0","0",75.503,7.493988095,2286.565,14.56891241,0.227770747,0.137912442,0.017482759,21.828,"0"
"110","4","1","1","1","1","0","0","0","0","1","0","0",0.019,7.493988095,0.793,0.005052622,7.9e-05,4.78e-05,6.06e-06,0.003,"1"
"111","4","1","1","1","1","0","0","0","0","1","0","0",0.026,7.493988095,0.683,0.004351753,6.8e-05,4.12e-05,5.22e-06,0.00452449,"0"
"112","4","1","1","1","1","0","0","0","0","1","0","0",0.026,7.493988095,0.924,0.005887292,9.2e-05,5.57e-05,7.06e-06,0.006120979,"0"
"113","4","1","1","1","1","0","0","0","0","1","0","0",0.033,7.493988095,1.119,0.00712974,0.000111467,6.75e-05,8.56e-06,0.001,"1"
"114","4","1","1","1","1","0","0","0","0","1","0","0",0.024,7.493988095,0.781,0.004976163,7.78e-05,4.71e-05,5.97e-06,0.005173684,"0"
"115","4","1","1","1","1","0","0","0","0","1","0","0",93.064,7.493988095,2117.574,13.49218156,0.21093711,0.127719878,0.016190677,26.115,"0"
"116","4","1","1","1","1","0","0","0","0","1","0","0",0.004,7.493988095,0.387,0.002465781,3.86e-05,2.33e-05,2.96e-06,0.001,"1"
"117","4","1","1","1","1","0","0","0","0","1","0","0",41.62,7.493988095,967.987,6.167556059,0.096423728,0.058383405,0.007401094,7.436,"0"
"118","4","1","1","1","1","0","0","0","0","1","0","0",0.021469985,7.493988095,0.564,0.003593542,5.62e-05,3.4e-05,4.31e-06,0.021,"0"
"119","4","1","1","1","1","0","0","0","0","1","0","0",0.218,7.493988095,3.946,0.025142049,0.000393071,0.000238,3.02e-05,0.008,"0"
"120","4","1","1","1","1","0","0","0","0","1","0","0",0.025,7.493988095,0.596,0.003797431,5.94e-05,3.59e-05,4.56e-06,0.003948164,"1"
"121","3","0","0","0","1","0","0","0","0","0","0","0",25,7.493988095,578.28,3.684527083,0.05760399,0.034878522,0.004421449,0.8,"0"
"122","3","0","0","0","1","0","0","0","0","0","0","0",37.3,7.493988095,451.58,2.877254514,0.04498307,0.027236707,0.003452718,0.39,"0"
"123","3","0","0","0","1","0","0","0","0","0","0","0",32.2,7.493988095,357.41,2.277247743,0.035602549,0.021556914,0.002732707,0.25,"0"
"124","3","0","0","0","1","0","0","0","0","0","0","0",30.8,7.493988095,408.21,2.600921354,0.040662871,0.024620878,0.003121117,0.45,"0"
"125","3","0","0","0","1","0","0","0","0","0","0","0",9.8,7.493988095,475.72,3.031063194,0.047387719,0.028692693,0.003637289,0.42,"0"
"126","3","0","0","0","1","0","0","0","0","0","0","0",56.3,7.493988095,673.28,4.289822222,0.06706719,0.040608375,0.005147805,0.29,"0"
"127","3","0","0","0","1","0","0","0","0","0","0","0",21.8,7.493988095,462.92,2.949507639,0.046112677,0.02792067,0.003539422,0.5,"0"
"128","3","0","0","0","1","0","0","0","0","0","0","0",45.3,7.493988095,553.9,3.529189236,0.055175434,0.033408061,0.004235043,0.09,"0"
"129","3","0","0","0","1","0","0","0","0","0","0","0",26.4,7.493988095,776.76,4.949147917,0.077375104,0.046849693,0.005938999,0.59,"0"
"130","3","0","0","0","1","0","0","0","0","0","0","0",5.9,7.493988095,194.06,1.236458681,0.019330826,0.011704582,0.001483756,0.02,"0"
"131","3","0","0","0","1","0","0","0","0","0","0","0",14.5,7.493988095,338.37,2.155933854,0.033705925,0.020408531,0.00258713,0.51,"0"
"132","3","0","0","0","1","0","0","0","0","0","0","0",17.2,7.493988095,442.16,2.817234722,0.044044719,0.026668547,0.003380694,0.43,"0"
"133","3","0","0","0","1","0","0","0","0","0","0","0",14.1,7.493988095,260.96,1.662713889,0.025994911,0.015739605,0.001995264,0.53,"0"
"134","3","0","0","0","1","0","0","0","0","0","0","0",38.7,7.493988095,698.93,4.45325191,0.069622254,0.042155436,0.005343922,0.54,"0"
"135","3","0","0","0","1","0","0","0","0","0","0","0",42.7,7.493988095,661.9,4.217314236,0.065933598,0.039921999,0.005060796,0.41,"0"
"136","3","0","0","0","1","0","0","0","0","0","0","0",39.7,7.493988095,484.14,3.084711458,0.048226457,0.029200539,0.003701667,0.418119934,"0"
"137","3","0","0","0","1","0","0","0","0","0","0","0",12,7.493988095,215.08,1.370388194,0.021424684,0.012972388,0.001644472,0.45,"0"
"138","3","0","0","0","1","0","0","0","0","0","0","0",20.7,7.493988095,321.04,2.045515278,0.031979638,0.019363285,0.002454627,0.19,"0"
"139","5","1","1","1","1","0","0","0","0","1","1","0",886.674048,7.508784947,33851,215.6825868,3.371987049,2.04169752,0.258820047,7.252728,"1"
"140","5","1","1","1","1","0","0","0","0","1","1","0",399.782112,7.619677419,22230,141.6390625,2.214388707,1.340785674,0.169967494,6.166972,"1"
"141","5","1","1","1","1","0","0","0","0","1","1","0",668.081589,7.479677419,36088,229.9356944,3.594820497,2.176620487,0.275923838,9.5042,"1"
"142","5","1","1","1","1","0","0","0","0","1","1","0",983.520508,7.583,38328,244.2079167,3.817952782,2.311724396,0.293050567,10.891533,"1"
"143","5","1","1","1","1","0","0","0","0","1","1","0",562.537975,7.508784947,26785,170.6613715,2.668124224,1.615517062,0.204794392,13.189503,"1"
"144","5","1","1","1","1","0","0","0","0","1","1","0",705.71573,7.494642857,23604,150.3935417,2.351256457,1.423657447,0.180472907,5.475197,"1"
"145","5","1","1","1","1","0","0","0","0","1","1","0",602.662931,7.504666667,32100,204.5260417,3.197565339,1.936087276,0.245432144,7.781023,"1"
"146","5","1","1","1","1","0","0","0","0","1","1","0",753.616193,7.459666667,35111,223.7107118,3.49749896,2.117693469,0.268453832,9.725545,"1"
"147","5","1","1","1","1","0","0","0","0","1","1","0",884.541804,7.512903226,37092,236.3327083,3.694831575,2.237175989,0.283600283,8.770573,"1"
"148","5","1","1","1","1","0","0","0","0","1","1","0",716.33054,7.508784947,22672,144.4552778,2.258417488,1.367444571,0.173346965,44.763454,"1"
"149","5","1","1","1","1","0","0","0","0","1","1","0",533.416873,7.508784947,22803,145.2899479,2.271466742,1.375345737,0.174348573,18.721896,"1"
"150","5","1","1","1","1","0","0","0","0","1","1","0",690.857167,7.538064516,28691,182.8055035,2.857985892,1.730476014,0.219367403,9.264612,"1"
"151","5","1","1","1","1","0","0","0","0","1","1","0",1143.912165,7.601290323,43603,277.8177257,4.343409391,2.62988204,0.333382485,10.193394,"1"
"152","5","1","1","1","1","0","0","0","0","1","1","0",1059.933264,7.508784947,45313,288.7130382,4.513746984,2.7330194,0.346456908,12.212029,"1"
"153","5","1","1","1","1","0","0","0","0","1","1","0",937.788488,7.533870968,30988,197.4409028,3.086796097,1.869017835,0.236929946,12.033001,"1"
"154","5","1","1","1","1","0","0","0","0","1","1","0",1038.529612,7.487419355,46423,295.785434,4.624317001,2.799968212,0.354943814,11.136198,"1"
"155","5","1","1","1","1","0","0","0","0","1","1","0",1138.319242,7.6122361,40960,260.9777778,4.080133217,2.47047149,0.313174474,12.234648,"1"
"156","5","1","1","1","1","0","0","0","0","1","1","0",804.92968,7.360322581,33461,213.197691,3.333138125,2.018174964,0.255838161,8.204836,"1"
"157","5","1","1","1","1","0","0","0","0","1","1","0",1005.698856,7.508784947,40987,261.149809,4.082822758,2.472099975,0.313380912,4.396428,"1"
"158","5","1","1","1","1","0","0","0","0","1","1","0",1082.636291,7.50325,46765,297.9644965,4.658384519,2.820595684,0.357558698,11.104057,"1"
"159","5","1","1","1","1","0","0","0","0","1","1","0",1214.734283,7.475483871,36784,234.3702778,3.664150885,2.218599201,0.281245358,11.119537,"1"
"160","5","1","1","1","1","0","0","0","0","1","1","0",869.436435,7.508784947,45544,290.1848611,4.536757501,2.746951991,0.348223102,16.16951,"1"
"161","5","1","1","1","1","0","0","0","0","1","1","0",1146.462035,7.508784947,52326,333.3965625,5.21233034,3.156003203,0.400077332,8.695159,"1"
"162","5","1","1","1","1","0","0","0","0","1","1","0",1098.021144,7.508784947,47736,304.15125,4.75510838,2.879160816,0.364982829,24.971524,"1"
"163","5","1","1","1","1","0","0","0","0","1","1","0",813.122126,7.508784947,43129,274.7976215,4.296193006,2.601293088,0.329758347,7.809245,"1"
"164","5","1","1","1","1","0","0","0","0","1","1","0",1279.256082,7.508784947,42931,273.536059,4.276469706,2.589350868,0.328244466,7.849645,"1"
"165","5","1","1","1","1","0","0","0","0","1","1","0",717.690417,7.508784947,39670,252.7585069,3.951632928,2.392666113,0.303311313,15.73298,"1"
"166","5","1","1","1","1","0","0","0","0","1","1","0",590.459121,7.508784947,29633,188.8074826,2.951820987,1.787292033,0.226569804,16.979359,"1"
"167","5","0","0","1","0","0","0","0","0","0","0","0",2324.7589,7.81314386,103328,658.3572222,10.29277356,7.6881,0.0016,144.2511,"1"
"168","5","0","0","1","0","0","0","0","0","0","0","0",1815.3133,6.835714286,49432,314.9573611,4.924051396,0.9613,0.002,185.6369,"1"
"169","5","0","0","1","0","0","0","0","0","0","0","0",1600.1301,7.397368421,53906,343.4635764,5.369718291,1.2953,0.0093,110.3054,"1"
"170","5","0","0","1","0","0","0","0","0","0","0","0",1566.7223,7.623166667,57888,368.835,5.766375773,3.2764,3e-04,115.4464,"1"
"171","5","0","0","1","0","0","0","0","0","0","0","0",1093.5021,7.4845,58881,375.1619271,5.865291112,1.9944,0.0196,128.1497,"1"
"172","5","0","0","1","0","0","0","0","0","0","0","0",1240.509,7.591774194,71910,458.1765625,7.163144034,2.8129,0.0592,174.67,"1"
"173","5","0","0","1","0","0","0","0","0","0","0","0",1184.875,7.154237288,60517,385.5857465,6.028257371,1.1265,0.0483,118.8616,"1"
"174","5","0","0","1","0","0","0","0","0","0","0","0",2815.127618,7.2342675,109911.64,700.3050674,10.94858724,6.818061,0.0027,228.702291,"1"
"175","5","0","0","1","0","0","0","0","0","0","0","0",495.0868,7.08440678,47337,301.6090104,4.715362942,1.0689,0.002132435,108.0315,"1"
"176","5","0","0","1","0","0","0","0","0","0","0","0",710.7592,7.243114754,53688,342.0745833,5.348002738,1.2837,0.0135,74.3691,"1"
"177","5","0","0","1","0","0","0","0","0","0","0","0",2234.0298,6.972096774,87320,556.3618056,8.698174622,3.6588,0.0024,132.2229,"1"
"178","5","0","0","1","0","0","0","0","0","0","0","0",46.4772,7.39,3436,21.89256944,0.342268988,0.134405846,0.000154785,6.783605872,"1"
"179","5","0","0","1","0","0","0","0","0","0","0","0",2845.372706,7.709021565,116498,742.2702431,11.60467186,15.791,0.005247995,99.141855,"1"
"180","5","0","0","1","0","0","0","0","0","0","0","0",2488.9394,7.412903226,118607,755.7077951,11.81475489,15.383,0.005343001,202.0174,"1"
"181","5","0","0","1","0","0","0","0","0","0","0","0",1513.9813,7.067741935,62156,396.0286806,6.191522467,0.6958,0.0028,123.3452,"1"
"182","5","0","0","1","0","0","0","0","0","0","0","0",883.5919,7.388421053,36910,235.1730903,3.676702076,1.443806689,0.00166272,37.5496,"1"
"183","5","0","0","1","0","0","0","0","0","0","0","0",2760.3218,7.64892555,106431,678.1280729,10.60187154,6.3824,0.004794498,138.50637,"1"
"184","1","0","0","0","1","0","0","0","0","0","1","0",14.459,7.482258065,378.8172,2.413644313,0.037734977,0.022848074,0.002896384,3.8818,"0"
"185","1","0","0","0","1","0","0","0","0","0","1","0",25.3305,7.611333333,356.2561,2.269895637,0.035487606,0.021487318,0.002723885,0.4984,"0"
"186","1","0","0","0","1","0","0","0","0","0","1","0",23.7034,7.917096774,684.92,4.363986806,0.068226681,0.041310433,0.005236803,0.5678,"0"
"187","1","0","0","0","1","0","0","0","0","0","1","0",15.3994,7.785333333,355.1587,2.262903523,0.035378291,0.021421129,0.002715494,1.1074,"0"
