"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Ni","Zn","NH3N","HWsum"
"83","1","0","1","1","0","0","0","0","0","0","1","0",17.50543885,7.485,0.018879571,583.79,3.178534202,0.020755611,0.01453706,0.013049215,0.040279302,0.015113226,0.164416338,113.801
"604","4","1","1","0","0","0","0","0","0","1","1","0",23.713,7.191,0.025165981,778.177,4.23690404,0.027666694,0.019377526,0.017394267,0.05369127,0.02014554,0.219162734,5.144
"684","2","0","0","0","0","0","0","0","0","0","1","0",24.21642781,7.485,0.026117356,807.5952,4.397075943,0.028712605,0.020110074,0.01805184,0.055721015,0.020907122,0.227447961,22.03
"384","5","1","0","1","0","0","0","0","0","1","1","0",3457.053788,7.485,3.728423725,115289.5079,627.7114099,4.098912577,2.870844844,2.577018491,7.954540064,2.984628706,32.46968719,66.659
"414","2","0","0","0","0","0","0","0","0","0","1","0",5.416014081,7.485,0.005841157,180.619,0.98340785,0.006421586,0.004497626,0.004037301,0.012462028,0.004675886,0.05086883,9.757
"412","2","0","0","0","0","0","0","0","0","0","1","0",4.521866046,7.485,0.004876821,150.8,0.821053731,0.005361425,0.003755098,0.00337077,0.01040463,0.003903929,0.042470724,7.824
"668","4","0","1","0","0","0","0","0","0","1","1","0",11.47,7.485,0.013763728,425.599,2.317239038,0.015131412,0.010597918,0.009513238,0.029364722,0.011017958,0.119864042,81.17
"75","1","0","1","1","0","0","0","0","0","0","1","0",4.836477575,7.485,0.005216129,161.292,0.878179034,0.005734449,0.004016361,0.003605293,0.011128538,0.004175547,0.04542565,15.85
"581","3","0","0","0","0","0","0","0","0","1","1","0",164.95,7.268064516,0.187563572,5799.8,31.57790073,0.206201532,0.144421867,0.129640521,0.400164267,0.150145923,1.633433043,210.553
"398","2","0","0","0","0","0","0","0","0","0","1","0",0.744017884,7.485,0.000802421,24.8123,0.135094373,0.000882157,0.000617856,0.000554619,0.001711955,0.000642344,0.006988039,23.61
"903","3","0","1","1","0","0","0","0","0","0","1","0",33.27259803,7.485,0.035884412,1109.61,6.041441847,0.039450202,0.027630599,0.024802652,0.076558894,0.028725718,0.312506231,61.76
"698","4","0","0","0","0","0","0","0","0","0","1","0",0.004737764,7.485,5.11e-06,0.158,0.000860255,5.62e-06,3.93e-06,3.53e-06,1.09e-05,4.09e-06,4.45e-05,192.073
"651","1","0","0","0","0","0","0","0","0","0","1","0",1.769165098,7.485,0.00190804,59,0.32123455,0.00209764,0.00146917,0.001318802,0.004070777,0.001527399,0.01661653,20.18
"352","4","1","1","0","0","0","0","0","0","1","1","1",621.13,7.460689655,0.16,4521.56,24.61832698,0.160755991,0.112592182,0.101068553,0.311970541,0.117054691,1.273434517,219.112
"682","2","0","0","0","0","0","0","0","0","0","1","0",15.70680966,7.485,0.016939754,523.8074,2.851949736,0.018623037,0.013043423,0.011708449,0.03614073,0.013560389,0.147523072,1.27
"455","1","0","0","0","0","0","0","0","0","0","1","0",27.69453742,7.485,0.029868488,923.5869,5.028610545,0.032836483,0.022998404,0.020644554,0.063724003,0.023909929,0.260115411,122.34
"116","2","1","0","1","0","0","0","0","0","0","1","0",21.90592218,7.485,0.023625481,730.542,3.977547976,0.025973116,0.018191358,0.016329502,0.050404635,0.01891236,0.205746999,93.5
"65","4","0","1","1","0","0","0","0","0","0","1","0",92.806203,7.485,0.100091254,3095,16.85120224,0.110037198,0.077069154,0.06918125,0.213543296,0.080123734,0.871663724,279.466
"113","2","1","0","1","0","0","0","0","0","0","1","0",9.663359678,7.485,0.010421909,322.264,1.75461578,0.011457521,0.008024754,0.007203433,0.022234997,0.008342809,0.090761176,68.55
"280","3","0","0","0","0","0","0","0","0","0","1","0",162.7253288,7.632903226,0.175498854,5426.7374,29.54670418,0.192937958,0.135132167,0.121301607,0.374424359,0.140488033,1.528365148,42.734
"908","3","0","1","1","0","0","0","0","0","0","1","0",37.75128445,7.485,0.040714664,1258.97,6.854655277,0.04476043,0.031349839,0.028141234,0.086864169,0.032592367,0.354571399,82.44
"780","4","0","1","1","0","0","0","0","0","0","1","0",3.820032,6.640502964,0.008,402.638,1.093,0.005,0.010026162,0.009,0.027780499,0.010423541,0.21,55.688
"281","3","0","0","0","0","0","0","0","0","0","1","0",175.7140082,7.626,0.189507111,5859.8977,31.90511187,0.208338198,0.14591837,0.13098386,0.404310781,0.151701739,1.650358725,47.616
"426","2","0","1","1","0","0","0","0","0","1","0","0",757.8941354,7.485,0.817386899,25275.06,137.6139411,0.898609624,0.629378831,0.56496292,1.743883559,0.654323806,7.118369284,36
"470","1","0","0","0","0","0","0","0","0","0","1","0",2.580026837,7.485,0.002782552,86.04148,0.468466036,0.003059051,0.002142534,0.001923249,0.005936537,0.002227452,0.024232387,6.418
"562","3","0","0","0","0","0","0","0","0","1","1","0",118.6277,7.426451613,0.161540751,4995.128,27.19674059,0.177592856,0.124384584,0.111654022,0.344644942,0.129314477,1.406808361,67.508
"162","3","0","1","0","0","0","0","0","0","0","1","0",7.89402,7.485,0.005003884,154.729,0.842445774,0.005501113,0.003852935,0.003458593,0.010675716,0.004005643,0.043577272,213.45
"770","1","0","1","0","0","0","0","0","0","0","0","0",1.179403417,7.485,0.001271984,39.332,0.214149107,0.001398379,0.000979413,0.000879172,0.002713759,0.001018232,0.011077311,200.336
"906","3","0","1","1","0","0","0","0","0","0","1","0",33.58325143,7.485,0.036219451,1119.97,6.097848456,0.039818533,0.027888575,0.025034224,0.077273695,0.028993919,0.315423981,71.34
"433","5","0","1","0","0","0","0","0","0","0","1","0",6.804328908,7.485,0.007338451,226.918,1.235489858,0.008067664,0.005650526,0.005072204,0.015656484,0.005874481,0.0639083,10.6
"534","4","1","0","1","0","0","0","0","0","0","1","0",2233.55719,7.485,2.408885754,74487.0416,405.5561235,2.64825375,1.854815267,1.664977907,5.139324189,1.92832953,20.97823977,64.158
"327","5","1","0","0","0","0","0","0","0","0","0","0",241.591,7.485,0.553119179,17103.431,93.12225356,1.07,0.425895622,0.38230589,1.18007206,0.442775688,1.026,88.485
"766","4","0","0","0","0","0","0","0","0","0","1","0",172.2410862,7.485,0.185761574,5744.079,31.27451919,0.204220471,0.143034348,0.128395012,0.396319729,0.148703411,1.617739998,121.319
"786","4","0","1","1","0","0","0","0","0","0","1","0",0.292,6.882592593,0.006923695,214.093,0.709,0.004,0.005331168,0.004845654,0.014771607,0.005542465,0.017987848,159.249
"446","3","1","0","0","0","0","0","0","0","0","0","0",0.002172475,7.485,2.34e-06,0.07245,0.000394465,2.58e-06,1.8e-06,1.62e-06,5e-06,1.88e-06,2.04e-05,13.633
"199","5","0","0","1","0","0","0","0","0","1","1","0",85.56911831,7.485,0.092286077,2853.65,15.53713514,0.10145643,0.071059254,0.063786453,0.196891059,0.073875636,0.803690852,122.02
"224","4","0","0","1","0","0","0","0","0","0","1","0",291.1,7.740967742,0.114919636,3553.52,19.34768471,0.126339058,0.088486843,0.079430357,0.245179442,0.091993955,1.000799508,137.79
"151","3","0","1","0","0","0","0","0","0","0","1","0",12.597352,7.485,0.019548006,604.459185,3.29107075,0.021490467,0.015051747,0.013511225,0.041705398,0.015648312,0.170237526,28.38
"351","4","1","1","0","0","0","0","0","0","1","1","1",435.85,7.327666667,0.42,13202.47,71.88287303,0.469390245,0.328757088,0.295109329,0.910920503,0.341787138,3.718292139,34.67
"626","2","0","0","1","0","0","0","0","0","0","0","0",57.53774685,7.71455,0.062054314,1918.83,10.44736426,0.068220574,0.07,0.01,0.2,0.05,0.540411795,7
"491","1","0","0","0","0","0","0","0","0","0","1","0",16.69047868,7.485,0.018000639,556.611841,3.030558547,0.01978934,0.013860292,0.012441713,0.038404112,0.014409635,0.156761987,2.625
"597","4","1","1","0","0","0","0","0","0","1","1","0",3,7.104516129,0.004123307,127.5,0.694193307,0.004533035,0.003174901,0.002849955,0.008797018,0.003300735,0.035908603,2.53
"447","3","1","0","0","0","0","0","0","0","0","0","0",0.000599717,7.485,6.47e-07,0.02,0.000108893,7.11e-07,4.98e-07,4.47e-07,1.38e-06,5.18e-07,5.63e-06,20.489
"270","3","1","0","1","0","0","0","0","0","0","1","0",541.7936,7.562666667,0.301764414,9331.0936,50.80457039,0.33175037,0.232355246,0.3709,0.643810172,0.241564478,2.627972795,173.682
"685","2","0","0","0","0","0","0","0","0","0","1","0",24.70778493,7.485,0.026647283,823.9815,4.486293667,0.029295191,0.020518112,0.018418116,0.056851608,0.021331333,0.232062935,26.78
"452","1","0","0","0","0","0","0","0","0","0","1","0",22.01878592,7.485,0.023747205,734.3059,3.998041107,0.026106935,0.018285084,0.016413635,0.05066433,0.0190098,0.206807049,63.54
"585","4","1","1","0","0","0","0","0","0","1","1","0",1.31,7.258,0.003343274,103.38,0.562868267,0.003675491,0.002574284,0.00231081,0.007132829,0.002676314,0.02911554,0.85
"140","1","0","0","0","0","0","0","0","0","0","1","0",0.06922,6.530967742,0.000258717,8,0.043557227,0.000284426,0.000199209,0.000178821,0.00055197,0.000207105,0.002253089,0.113
"159","3","0","1","0","0","0","0","0","0","0","1","0",12.58657,7.485,0.008332379,257.652,1.402825835,0.009160357,0.006415839,0.005759188,0.017777014,0.006670126,0.072564104,135.94
"46","2","0","0","0","0","0","0","0","0","0","1","0",7.046674541,7.485,0.007599821,235,1.279493546,0.008355005,0.005851777,0.005252857,0.016214111,0.006083708,0.066184483,66.55
"319","2","0","0","0","0","0","0","0","0","0","1","0",0.000641697,7.485,6.92e-07,0.0214,0.000116516,7.61e-07,5.33e-07,4.78e-07,1.48e-06,5.54e-07,6.03e-06,39.062
"513","2","0","1","0","0","0","0","0","0","0","1","0",0.333634552,7.485,0.000359824,11.1264,0.060579391,0.000395579,0.00027706,0.000248704,0.00076768,0.000288042,0.003133596,0.264
"531","4","1","0","1","0","0","0","0","0","0","1","0",2467.985539,7.485,2.661716132,82305.0076,448.1222386,2.92620757,2.049491849,1.839729654,5.678734278,2.130721978,23.18006122,28.1
"418","2","0","0","0","0","0","0","0","0","0","1","0",0.955139252,7.485,0.001030115,31.853,0.173428544,0.001132477,0.000793177,0.000711997,0.002197737,0.000824614,0.008970955,29.787
"608","4","1","1","0","0","0","0","0","0","1","1","0",63.393,7.333870968,0.056728942,1754.16,9.550793189,0.062366026,0.043680655,0.03921001,0.121030406,0.045411906,0.494034778,36.377
"184","5","0","1","1","0","0","0","0","0","1","1","0",120.7149323,7.586451613,0.130190748,4025.73,21.91870449,0.143127641,0.100245429,0.089985471,0.277760146,0.104218584,1.13379089,40.157
"567","3","0","0","0","0","0","0","0","0","1","1","0",204.2466,7.354193548,0.191333309,5916.367,32.21256764,0.210345864,0.147324522,0.132246095,0.40820695,0.153163624,1.666262518,129.592
"340","4","1","1","0","0","0","0","0","0","0","0","0",125.8,7.485,0.178384606,5515.97,30.03254475,0.196110463,0.137354165,0.123296187,0.380581071,0.142798098,1.553496269,3.92
"157","3","0","1","0","0","0","0","0","0","0","1","0",37.663235,7.485,0.03045999,941.877174,5.128194748,0.033486761,0.023453854,0.021053389,0.064985963,0.02438343,0.265266612,106.56
"436","4","0","0","0","0","0","0","0","0","0","1","0",492.8294245,7.485,0.531515282,16435.4,89.48505631,0.584331298,0.409260862,0.367373671,1.133980448,0.42548162,4.628801931,272.33
"706","4","0","1","0","0","0","0","0","0","0","1","0",35.27310395,7.485,0.038041953,1176.325,6.404681898,0.041822135,0.029291881,0.026293904,0.081161977,0.039,0.331295583,1.282
"242","3","1","0","1","0","0","0","0","0","0","1","0",252.94,7.511764706,0.194509857,6014.5915,32.74736599,0.21383806,0.149770428,1.13,0.414984069,0.155706471,1.693926083,10.683
"179","3","0","1","1","0","0","0","0","0","0","1","0",1.021917738,7.761612903,0.001102136,34.08,0.185553788,0.001211654,0.000848632,0.000761776,0.002351391,0.000882267,0.009598158,8.54
"660","4","0","1","0","0","0","0","0","0","1","1","0",11.345,7.485,0.00774674,239.543,1.304228607,0.008516524,0.005964903,0.005354405,0.016527561,0.006201318,0.067463956,1.268
"641","3","0","1","0","0","0","0","0","0","0","1","0",47.22771235,7.485,0.050934968,1575,8.575329088,0.055996312,0.039219359,0.035205321,0.108669044,0.04077379,0.443576855,13.69
"466","1","1","1","0","0","0","0","0","0","0","0","0",0.13472642,7.485,0.000145302,4.493,0.024462828,0.000159741,0.000111881,0.00010043,0.00031,0.000116315,0.001265391,27.872
"147","1","0","0","0","0","0","0","0","0","0","1","0",3.351094,7.703548387,0.008204572,253.7,1.381308565,0.00901985,0.006317429,0.005670851,0.017504341,0.006567816,0.071451078,1.854
