"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Fe","Cu","Cr","Zn","Ni","NH3N","HW17logic"
"55","4","0","1","1","0","0","0","0","0","1","1","0",90.093311,7.489394393,0.0338943,9625,22.95611,1.111618,5.871049563,0.078784,0.296194657,1.391015,0.00663601,2.277759,"1"
"56","4","0","1","1","0","0","0","0","0","1","1","0",76.21,7.558709677,0.027515763,7813.68,8.95,0.16,4.766182083,0.028207,0.240454054,1.214749,0.005387186,1.191895,"1"
"57","4","0","1","1","0","0","0","0","0","1","1","0",118.02178,7.796774194,0.043578386,12375,38.274907,0.892992,7.548492295,0.100265,0.380821702,1.44653,0.008532013,5.041393,"1"
"58","4","0","1","1","0","0","0","0","0","1","1","0",107.067029,7.846666667,0.042874089,12175,23.585177,0.786969,7.42649646,0.095081,0.374667008,0.437603,0.008394122,4.774498,"1"
"59","4","1","0","1","1","0","0","0","0","0","0","1",114.865237,7.473833334,0.019073836,5832,26.39302535,0.452591925,3.557398551,0.301086885,0.097585463,2.017946154,0.088525035,0.915768019,"1"
"60","4","1","0","1","1","0","0","0","0","0","0","1",122.600253,7.473833334,0.031606577,9664,51.828078,0.749974,5.894838751,0.391951,0.161705403,3.347387,0.14669169,1.419546,"1"
"61","4","1","0","1","1","0","0","0","0","0","0","1",70.145388,7.473833334,0.017490891,5348,24.20265768,0.415031142,3.26216863,0.24565,0.089486806,1.850476,0.081178307,0.839768067,"1"
"62","4","1","0","1","1","0","0","0","0","0","0","1",97.848469,7.473833334,0.022988682,7029,5.381595,0.034646,4.287543624,0.345394,0.117614578,2.023179,0.106694525,0.285195,"1"
"63","4","1","0","1","1","0","0","0","0","0","0","1",105.375042,7.473833334,0.024339419,7442,33.67916576,0.577535856,4.539465023,0.384205864,0.124525208,2.575026625,0.11296353,1.168577777,"1"
"64","4","1","0","1","1","0","0","0","0","0","0","1",47.663971,7.473833334,0.015868699,4852,21.95798337,0.376539099,2.959618959,0.250492724,0.081187357,1.678853693,0.073649429,0.761883818,"1"
"65","4","1","0","1","1","0","0","0","0","0","0","1",190.900129,7.473833334,0.02518322,7700,34.84675844,0.597557926,4.69683965,0.397525552,0.12884226,2.664297906,0.116879761,1.209090148,"1"
"66","4","1","0","1","1","0","0","0","0","0","0","1",135.81453,7.473833334,0.023773614,7269,32.140259,0.283462,4.433938626,0.377161,0.12163044,2.149639,0.11033753,1.17607,"1"
"67","4","1","0","1","1","0","0","0","0","0","0","1",104.139424,7.473833334,0.012015994,3674,16.62688189,0.285120496,2.24106349,0.189676478,0.061476164,1.271250715,0.055768343,0.576908728,"1"
"68","4","1","0","1","1","0","0","0","0","0","0","1",95.534392,7.473833334,0.020166199,6166,27.90456007,0.478511971,3.761131595,0.318330202,0.103174205,2.133514401,0.093594884,0.968214267,"1"
"69","4","1","0","1","1","0","0","0","0","0","0","1",84.289362,7.473833334,0.024601063,7522,34.04121,0.73715,4.588263357,0.388336,0.125863829,2.867372,0.114177865,1.19658,"1"
"70","4","1","0","1","1","0","0","0","0","0","0","1",177.255846,7.473833334,0.023649333,7231,32.72427406,0.561161216,4.410759417,0.373312632,0.120994595,2.502017942,0.109760721,1.135445567,"1"
"71","4","0","1","1","0","0","0","0","0","1","1","0",80.147795,7.473833334,0.019302775,5902,26.70981407,0.45802427,3.600097093,0.304700754,0.098756756,2.042167044,0.089587578,0.926759748,"1"
"72","4","0","1","1","0","0","0","0","0","1","1","0",100.764012,7.473833334,0.02219721,6787,30.71492851,0.526704629,4.139928663,0.369264,0.113565249,1.646221,0.103021161,1.065726602,"1"
"73","4","0","1","1","0","0","0","0","0","1","1","0",68.556983,7.473833334,0.019175223,5863,26.5333175,0.454997678,3.576307905,0.302687313,0.098104178,2.028672548,0.088995589,0.920635784,"1"
"74","4","0","1","1","0","0","0","0","0","1","1","0",110.652548,7.473833334,0.024898683,7613,47.021253,0.762787,4.643771462,0.471279,0.12738651,3.342185,0.115559171,1.195429,"1"
"75","4","0","1","1","0","0","0","0","0","1","1","0",107.275563,7.473833334,0.019518631,5968,27.00850057,0.463146195,3.640355719,0.308108116,0.099861118,2.065003883,0.090589404,0.937123377,"1"
"76","1","1","0","1","1","0","0","0","0","0","0","1",0.075012713,7.473833334,1.06e-05,3.226,0.014796434,0.00023339,0.001967793,0.000120808,5.4e-05,0.000365331,4.9e-05,0.001500058,"0"
"77","2","1","0","1","1","0","0","0","0","0","0","1",0.006185177,7.473833334,8.7e-07,0.266,0.001220041,1.92e-05,0.000162254,9.96e-06,4.45e-06,3.01e-05,4.04e-06,0.000123687,"0"
"78","2","1","0","1","1","0","0","0","0","0","0","1",0.216736981,7.473833334,3.05e-05,9.321,0.042751879,0.000674342,0.005685616,0.000349056,0.000155966,0.001055566,0.000141485,0.004334173,"1"
"79","2","1","0","1","1","0","0","0","0","0","0","1",0.079407445,7.473833334,1.12e-05,3.415,0.015663305,0.000247063,0.002083079,0.000127886,5.71e-05,0.000386735,5.18e-05,0.001587941,"0"
"80","2","0","1","0","0","0","0","0","0","1","0","1",8.190645,7.263666667,0.000288,823,3.774787754,0.059541196,0.502012861,0.019111,0.000111,0.093201429,0.000503,0.137623,"1"
"81","2","0","1","0","0","0","0","0","0","1","0","1",12.580706,7.266333333,5.21e-05,1164,5.338824964,0.084211364,0.71001576,0.00256,0.000155749,0.131818302,2.89e-05,0.114175,"1"
"82","2","0","1","0","0","0","0","0","0","1","0","1",8.769855,7.294693878,1.3e-05,850,3.898626477,0.061494553,0.518482299,0.019497,2.4e-05,0.09625907,2.11e-05,0.136635,"1"
"83","2","0","1","0","0","0","0","0","0","1","0","1",13.342037,7.409692867,8.3e-05,1292,5.925912245,0.09347172,0.788093095,0.028723,0.000136,0.146313786,7.1e-05,0.220537,"1"
"84","2","0","1","0","0","0","0","0","0","1","0","1",9.092352,7.324354839,0.000221,972,4.458194042,0.07032083,0.592899758,0.020727,0.000674,0.110075077,1.2e-05,0.147525,"1"
"85","2","0","1","0","0","0","0","0","0","1","0","1",8.100074,7.264032258,0.000212,821,3.765614515,0.059396503,0.500792903,0.019426,0.000171,0.092974937,2.7e-05,0.123845,"1"
"86","2","0","1","0","0","0","0","0","0","1","0","1",6.99211,7.514545429,2.9e-05,649,2.976715981,0.0469529,0.395876485,0.014962,8.68e-05,0.073496631,1.61e-05,0.080674,"1"
"87","2","0","1","0","0","0","0","0","0","1","0","1",11.806198,7.441366113,5.3e-05,1185,5.435143971,0.085730641,0.722825323,0.028799,0.000199,0.134196468,1e-05,0.209463,"1"
"88","2","0","1","0","0","0","0","0","0","1","0","1",14.867715,7.55983871,0.00014,1478,6.779023451,0.106928175,0.901549221,0.03247,0.000182,0.167377535,4.1e-05,0.387873,"1"
"89","2","0","1","0","0","0","0","0","0","1","0","1",12.347567,7.54983871,0.000221,1268,5.81583338,0.091735403,0.773453594,0.023131,0.00061,0.143595883,1.1e-05,0.288023,"1"
"90","2","0","1","0","0","0","0","0","0","1","0","1",21.09,7.595666667,4.78e-05,1068,4.898509503,0.077266097,0.651457759,0.023386,0.000142903,0.12094669,2.65e-05,0.2,"1"
"91","2","0","1","0","0","0","0","0","0","1","0","1",10.27911,7.77413332,5.8e-05,926,4.24720955,0.066992889,0.564840716,0.001576,0.000345,0.104865763,4.5e-05,0.387637,"1"
"92","2","0","1","0","0","0","0","0","0","1","0","1",6.02784,7.724736842,3e-06,882,4.045398297,0.063809642,0.538001633,0.020287,0.000118016,0.09988294,9e-06,0.18,"1"
"93","2","0","1","0","0","0","0","0","0","1","0","1",11.4138,7.456206897,4.6e-05,1028,4.715044727,0.074372235,0.627058592,0.013175,0.000137551,0.116416851,1.5e-05,0.08,"1"
"94","2","0","1","0","0","0","0","0","0","1","0","1",16.69,7.186129032,5.26e-05,1176,5.393864396,0.085079522,0.71733551,0.025419,0.000157354,0.133177254,4e-06,0.24,"1"
"95","2","0","1","0","0","0","0","0","0","1","0","1",11.670537,7.78483871,2.6e-05,1108,5.081974278,0.080159958,0.675856926,0.002092,2.8e-05,0.125476528,6.3e-05,0.465099,"1"
"96","2","0","1","0","0","0","0","0","0","1","0","1",14.558885,7.651666667,0.000792,1325,6.077270685,0.095859156,0.808222407,0.031877,0.002445,0.150050903,0.001524,0.36907,"1"
"97","2","0","1","0","0","0","0","0","0","1","0","1",11.0154,7.514777767,2e-06,1091,5.004001749,0.078930067,0.66548728,0.00169,8e-06,0.123551347,7.4e-05,0.324812,"1"
"98","2","0","1","0","0","0","0","0","0","1","0","1",10.990977,7.34,2.8e-05,987,4.526993333,0.071406028,0.602049446,0.017619,3.3e-05,0.111773767,9e-06,0.299921,"1"
"99","2","0","1","0","0","0","0","0","0","1","0","1",12.160125,7.795985677,5.9e-05,1153,5.288372151,0.083415552,0.703305989,0.005244,0.000217,0.130572597,4.8e-05,0.29391,"1"
"100","2","0","1","0","0","0","0","0","0","1","0","1",17.9503,7.944633419,4.8e-05,1341,6.150656595,0.0970167,0.817982074,0.032407,0.000178,0.151862838,6.3e-05,0.237446,"1"
"101","2","0","1","0","0","0","0","0","0","1","0","1",11.72824,7.4687037,1e-06,1268,5.81583338,0.091735403,0.773453594,0.029493,2e-06,0.143595883,2.3e-05,0.229259,"1"
"102","2","0","1","0","0","0","0","0","0","1","0","1",15.810906,7.548308468,6.7e-05,1540,7.063393852,0.11141366,0.93936793,0.036049,0.000317,0.174398785,1.6e-05,0.238915,"1"
"103","2","1","0","1","1","0","0","0","0","0","0","1",12.1386,7.748958333,1.1e-05,1005,4.609552482,0.072708265,0.613029071,0.001541,1.1e-05,0.113812194,2.2e-05,0.520845,"1"
"104","4","1","0","1","1","0","0","0","0","0","0","1",146.6305552,6.857525273,0.020624076,6306,28.92322184,0.456217234,3.84652868,0.236149039,0.105516791,0.714129051,0.09571997,2.932227452,"1"
"105","4","1","0","1","1","0","0","0","0","0","0","1",15.43969056,7.099333333,0.002171644,664,3.045515271,0.048038098,0.405026172,0.024865677,0.011110553,0.07519532,0.010078982,0.308753414,"1"
"106","4","1","0","1","1","0","0","0","0","0","0","1",64.03751173,7.535130581,0.009007089,2754,12.63154979,0.199242351,1.679882649,0.103132644,0.046082024,0.311879386,0.041803489,1.280582683,"1"
"107","4","1","0","1","1","0","0","0","0","0","0","1",50.29525704,7.026967742,0.007074196,2163,9.920857729,0.15648555,1.319384956,0.081000693,0.036192962,0.244951021,0.032832587,1.005773546,"1"
"108","4","1","0","1","1","0","0","0","0","0","0","1",13.37021396,7.013333333,0.001880565,575,2.637306146,0.041599256,0.350738026,0.021532778,0.009621338,0.065116429,0.008728034,0.267369297,"1"
"109","4","1","0","1","1","0","0","0","0","0","0","1",394.5957059,7.460322581,0.055501201,16970,77.83493096,1.227720658,10.35134661,0.635497811,0.283954955,1.921784014,0.25759085,7.890881677,"1"
"110","4","0","1","1","0","0","0","0","0","1","1","0",97.75370346,7.649677419,0.013749384,4204,19.28214789,0.304144823,2.564352453,0.157432693,0.070344528,0.476086034,0.063813314,1.954818301,"1"
"111","4","0","1","1","0","0","0","0","0","1","1","0",95.99008762,7.790666667,0.013501326,4128.153861,18.93427052,0.298657618,2.518087888,0.154592383,0.069075412,0.467496765,0.062662031,1.919550599,"1"
"112","4","0","1","1","0","0","0","0","0","1","1","0",52.87628964,7.898,0.007437226,2274,10.42997248,0.164516015,1.387092645,0.085157456,0.038050299,0.257521323,0.034517477,1.057387445,"1"
"113","4","0","1","1","0","0","0","0","0","1","1","0",476.4679204,7.182398484,0.067016801,20491,93.98441781,1.482452799,12.49908328,0.767353308,0.342871007,2.320523054,0.311036777,9.528111753,"1"
"114","4","0","1","1","0","0","0","0","0","1","1","0",75.82655256,7.913870968,0.010665257,3261,14.95696581,0.235922043,1.989142091,0.122118937,0.054565534,0.369295089,0.049499338,1.516332655,"1"
"115","4","0","1","1","0","0","0","0","0","1","1","0",13.83526488,7.114516129,0.001945976,595,2.729038534,0.043046187,0.362937609,0.022281744,0.009955993,0.067381349,0.009031618,0.276669098,"1"
"116","4","0","1","1","0","0","0","0","0","1","1","0",109.0079357,7.18,0.015332329,4688,21.50207168,0.339160545,2.859582374,0.175557675,0.078443184,0.53089708,0.071160041,2.1798735,"1"
"117","4","0","1","1","0","0","0","0","0","1","1","0",214.3884743,7.252903226,0.030154453,9220,42.28863073,0.66703503,5.624007997,0.345273413,0.154276057,1.044127791,0.139952129,4.287208548,"1"
"118","4","0","1","1","0","0","0","0","0","1","1","0",678.6255555,7.652333333,0.095450946,29185,133.8604867,2.111433553,17.80224223,1.09292891,0.488345632,3.305083467,0.443004652,13.57073552,"1"
"119","4","1","0","1","1","0","0","0","0","0","0","1",7.534,7.157777778,0.001948527,595.78,2.732616097,0.043102617,0.363413393,0.004851,0.009969044,0.0335,0.009043458,0.39,"1"
"120","4","1","0","1","1","0","0","0","0","0","0","1",110.0277,7.62516129,0.013510634,4131,18.94732468,0.298863526,2.519823973,0.16,0.069123036,0.31605,0.062705233,1.04,"1"
"121","4","1","0","1","1","0","0","0","0","0","0","1",43.60423,7.217724633,0.009118288,2788,12.78749484,0.201702133,1.700621941,0.115538,0.046650938,0.284228,0.042319581,1.370148,"1"
"122","4","0","1","1","0","0","0","0","0","1","1","0",10.64067,7.9605,0.001605839,491,2.252030118,0.035522147,0.299499775,0.02372,0.008215786,0.068686,0.007452982,0.158872,"1"
"123","4","0","1","1","0","0","0","0","0","1","1","0",41.15,7.457096774,0.006217312,1901,8.71916345,0.137530758,1.159570412,0.029284,0.031808979,0.149469,0.02885564,0.68,"1"
"124","4","0","1","1","0","0","0","0","0","1","1","0",135.55458,7.412580645,0.032659693,9986,45.80198118,0.722452474,6.091252045,0.448427,0.167093352,1.512595,0.151579389,1.754226,"1"
"125","4","0","1","1","0","0","0","0","0","1","1","0",164.62975,7.339,0.037267895,11395,52.26452789,0.824388739,6.950712703,0.457416,0.190669812,1.435269,0.172966867,2.009205,"1"
"126","4","0","1","1","0","0","0","0","0","1","1","0",1.6897,7.500322581,0.000323784,99,0.454075319,0.007162307,0.060387938,0.003834,0.001656543,0.014025,0.00150274,0.0172,"1"
"127","4","0","1","1","0","0","0","0","0","1","1","0",70.67,7.5,0.01124107,3437.06,15.76448602,0.248659373,2.096535024,0.049439,0.057511504,0.148257,0.052171786,0.96,"1"
"128","4","0","1","1","0","0","0","0","0","1","1","0",26.06701,7.968571429,0.005056267,1546,7.090913569,0.111847739,0.943027805,0.017517,0.025868849,0.095917,0.023467027,0.579155,"1"
"129","4","0","1","1","0","0","0","0","0","1","1","0",13.45194,7.959677419,0.003156079,965,4.426087706,0.069814404,0.588629904,0.037553,0.016147114,0.048306,0.014647918,0.470406,"1"
"130","4","0","1","1","0","0","0","0","0","1","1","0",1.8715,7.387333333,0.000385925,118,0.541221087,0.008536891,0.071977543,0.008289,0.001974466,0.011024,0.001791144,0.049104,"1"
"131","4","0","1","1","0","0","0","0","0","1","1","0",2.314305,7.463870968,0.000474229,145,0.665059811,0.010490247,0.08844698,0.015421,0.00242625,0.004416,0.002200983,0.032889,"1"
"132","4","0","1","1","0","0","0","0","0","1","1","0",172.3,7.405185185,0.02168151,6629.32,30.40616762,0.479608315,4.043747147,0.075793,0.110926828,0.505319,0.100627706,3.27,"1"
"133","4","0","1","1","0","0","0","0","0","1","1","0",26.76555,7.869677419,0.008568836,2620,12.01694279,0.189547915,1.598145439,0.030792,0.043839834,0.046926,0.039769477,1.667526,"1"
"134","4","0","1","1","0","0","0","0","0","1","1","0",37.31,8.021034483,0.006537826,1999,9.16865215,0.144620719,1.219348372,0.06923,0.033448789,0.079028,0.0303432,0.37,"1"
"135","4","0","1","1","0","0","0","0","0","1","1","0",34.34268,7.97,0.006609778,2021,9.269557776,0.146212342,1.232767913,0.030374,0.03381691,0.097655,0.030677142,0.9376,"1"
"136","4","0","1","1","0","0","0","0","0","1","1","0",139.815979,7.467666667,0.030350686,9280,42.56382789,0.671375822,5.660606747,0.465735,0.155280023,1.158301,0.140862881,1.492232,"1"
"137","4","0","1","1","0","0","0","0","0","1","1","0",9.637315,7.96,0.001615651,494,2.265789976,0.035739187,0.301329713,0.017493,0.008265984,0.025165,0.00749852,0.094818,"1"
"138","4","0","1","1","0","0","0","0","0","1","1","0",706.25,7.48,0.034285385,10483.07,48.08185207,0.758413765,6.394454394,1833.21,0.175410706,2.362189,0.159124509,8.29,"1"
"139","4","0","1","1","0","0","0","0","0","1","1","0",65.75093,7.482903226,0.012552364,3838,17.6034452,0.277665992,2.341100075,0.192835,0.064220337,0.231575,0.05825773,1.053443,"1"
"140","4","0","1","1","0","0","0","0","0","1","1","0",32.05622,7.397822581,0.005164195,1579,7.242272008,0.114235175,0.963157118,0.010522,0.02642103,0.116711,0.023967941,0.811184,"1"
"141","4","0","1","1","0","0","0","0","0","1","1","0",72.83,7.417741935,0.009232757,2823,12.94802652,0.204234261,1.721971212,0.080466,0.047236585,0.11381,0.042850853,0.79,"1"
"142","2","0","1","0","0","0","0","0","0","1","0","1",7.83,7.0395,0.013559692,4146,19.01612397,0.299948724,2.528973661,0.039545524,0.069374027,0.469517768,0.000630556,0.2,"1"
