"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","Cr6","water","N","P","Cu","Cr","Zn","Ni","NH3N","HW17"
"387","3","0","0","0","0","0","0","0","0","1","1","0",42.79,7.510689655,0.012835393,2204.62,18.13593964,0.285837223,0.325017356,0.058726822,0.021058721,0.050587027,0.528915399,11.94
"185","4","1","0","0","0","0","0","0","0","0","1","0",74.83318233,7.443790067,0.016228888,2787.49,22.93082272,0.361408497,0.410947297,0.074253354,0.026626346,0.063961514,0.668753067,15.993
"527","4","0","1","1","0","0","0","0","0","0","1","0",285.51,7.781935484,0.01403718,2411.04,19.83401943,0.312600347,0.00444651,0.064225452,0.021324001,0.055323524,0.578438091,48.007
"335","2","0","1","0","0","0","0","0","0","0","0","0",11.83847742,7.443790067,0.002567381,440.976,3.627615698,0.057174187,0.065011137,0.01174675,0.004212241,0.010118599,0.105795555,1.615
"356","2","0","0","0","0","0","0","0","0","1","1","0",18.967959,7.443790067,0.005874442,1009,8.30037063,0.130820621,0.148752398,0.026877813,0.009638056,0.02315243,0.242071485,13.169
"213","2","0","0","0","0","0","0","0","0","0","1","0",165.8,6.840967742,0.036378456,6248.4,51.40142304,0.810128413,0.921173919,0.166445317,0.059685259,0.143375267,1.499067858,30.27
"120","3","1","0","1","0","0","0","0","0","0","1","0",47.97979382,7.443790067,0.01040526,1787.2178,14.70224989,0.231719467,0.263481599,0.047608033,0.017071659,0.041009351,0.428775488,44.72
"235","4","1","1","1","0","0","0","0","0","0","1","0",190.5319578,7.443790067,0.041320196,7097.1982,58.38392021,0.920178272,1.046308476,0.189055663,0.067793053,0.16285172,1.702704965,39.322
"162","2","0","1","0","0","0","0","0","0","1","0","0",8.596107083,7.174886364,0.001864217,320.1997,2.63406956,0.041515088,0.047205623,0.008529502,0.003058575,0.007347276,0.076819838,39.48
"114","3","1","0","1","0","0","0","0","0","0","1","0",47.0474348,7.443790067,0.010203061,1752.488,14.41655097,0.227216619,0.258361539,0.046682898,0.016739917,0.040212444,0.420443383,33.19
"391","3","0","0","0","0","0","0","0","0","1","1","0",245.4326,7.430740741,0.032368675,5559.676,45.73574964,0.720832772,0.819638392,0.148099039,0.053106507,0.127571864,1.333834516,13.27
"363","3","0","0","0","0","0","0","0","0","1","1","0",16.08080252,7.443790067,0.003487404,599,4.927573843,0.077662589,0.088307915,0.015956204,0.0057217,0.013744604,0.143707453,70.204
"353","2","0","0","0","0","0","0","0","0","1","1","0",28.371954,7.443790067,0.004977847,855,7.033515251,0.110853946,0.126048861,0.02277555,0.008167034,0.019618759,0.205124995,23.576
"396","3","0","0","0","0","0","0","0","0","1","1","0",204.2466,7.354193548,0.034445346,5916.367,48.6700088,0.767079094,0.872223766,0.157600599,0.056513651,0.135756466,1.419409066,40.87
"276","4","1","1","0","0","0","0","0","0","0","1","0",318.9368115,7.443790067,0.06916704,11880.2,97.73048876,1.540312332,1.751445234,0.3164656,0.113480701,0.272602082,2.850205807,50.6
"483","3","0","0","0","0","0","0","0","0","0","1","0",44.68865,7.893870968,0.008977591,1542,12.68500645,0.199926063,0.227330226,0.041075904,0.014729318,0.035382604,0.369944728,68.638
"443","5","0","0","1","0","0","0","0","0","1","1","0",45.37,7.374333333,0.044953278,7721.22,63.51733173,0.444463003,1.138305245,0.205678399,0.073753763,0.177170473,0.91,41
"474","3","0","0","0","0","0","0","0","0","0","1","0",27.98576,7.717888889,0.008278946,1422,11.69784642,0.184367615,0.209639158,0.037879336,0.013583067,0.032629094,0.341155255,56.4
"313","3","0","1","1","0","0","0","0","0","1","1","1",82.89634101,7.443790067,0.017977525,3087.8377,25.40158311,0.400349698,0.455226227,0.082254037,0.029495294,0.070853267,0.740810167,28.978
"522","4","0","1","1","0","0","0","0","0","0","1","0",357.71,8.108333333,0.014340508,2463.14,20.26261141,0.319355307,0.004542594,0.065613296,0.229,0.056519006,0.590937521,29.524
"332","2","0","1","0","0","0","0","0","0","0","0","0",13.84020175,7.443790067,0.00300149,515.539,4.240995812,0.066841558,0.07600363,0.013732964,0.004924473,0.011829515,0.123684134,1.927
"178","2","0","1","0","0","0","0","0","0","1","0","0",1.585798005,7.44,0.000343908,59.07,0.485929527,0.007658646,0.008708428,0.001573511,0.000564242,0.001355415,0.014171618,42
"38","4","0","1","1","0","0","0","0","0","0","1","0",15.08808814,7.443790067,0.003272116,562.022,4.623380478,0.072868253,0.236,0.014971181,0.005368483,0.01289611,0.134835977,16.65
"404","3","0","0","0","0","0","0","0","0","1","1","0",84.63,7.212,0.032116487,5516.36,45.37941777,0.715216691,0.813252507,0.146945184,0.052692749,0.126577938,1.323442476,36.57
"311","3","0","1","1","0","0","0","0","0","1","1","1",43.62881458,7.443790067,0.009461673,1625.1465,13.3689973,0.210706318,0.239588146,0.043290766,0.01552354,0.037290477,0.389892594,18.141
"386","3","0","0","0","0","0","0","0","0","1","1","0",190.539,7.327666667,0.031333853,5381.934,44.27358464,0.697787858,0.793434677,0.143364335,0.0514087,0.123493411,1.291192029,13.96
"529","4","0","1","1","0","0","0","0","0","0","1","0",334.3,8.188333333,0.016327863,2804.49,23.07067039,0.36361261,0.003,0.074706201,0.024803797,0.064351595,0.672831576,33.488
"402","3","0","0","0","0","0","0","0","0","1","1","0",89.81,7.102258065,0.033176914,5698.5,46.87776218,0.738831823,0.8401046,0.151797042,0.054432566,0.130757308,1.367140098,31
"431","2","0","1","0","0","0","0","0","0","0","0","0",162.9,7.337,0.032912011,5653,46.503464,0.732932578,0.833396736,0.15058501,0.053997946,0.129713268,1.356224089,9.144
"330","2","0","1","0","0","0","0","0","0","0","0","0",14.1060048,7.443790067,0.003059134,525.44,4.322444741,0.06812526,0.07746329,0.013996708,0.005019048,0.012056703,0.126059506,0.8494
"444","5","0","0","1","0","0","0","0","0","1","1","0",132.75,7.429666667,0.033909619,5824.35,47.91304626,0.335271899,0.858658107,0.155149443,0.055634696,0.133645051,0.1,38.1
"103","5","0","0","0","0","0","0","0","0","0","1","0",595.1867786,7.782,0.020126647,3456.973,28.43821324,0.44820947,0.509646208,0.092087089,0.033021306,0.079323415,0.829370256,39.11
"310","3","0","1","1","0","0","0","0","0","1","1","1",43.01409301,7.443790067,0.00932836,1602.2485,13.18063071,0.207737506,0.236212395,0.042680808,0.015304817,0.036765061,0.384399082,27.551
"71","2","1","0","1","0","0","0","0","0","0","0","0",183.02,7.218333333,0.029748371,5109.61,42.03335657,0.662480033,1.269824011,0.136110149,0.048807438,0.117244687,1.225858158,65.7
"446","5","0","0","1","0","0","0","0","0","1","1","0",42.46,7.99516129,0.047020627,8076.31,66.43842054,0.09,1.19065459,0.215137312,0.077145614,0.185318338,12.83,47.641
"225","2","1","0","1","0","0","0","0","0","0","1","0",14.85664764,7.443790067,0.0025,232.6192,0.728829945,0.078457159,0.042521974,0.0111,0.07633283,0.0066,0.055808201,2.987
"216","2","1","0","1","0","0","0","0","0","0","1","0",1.3846,7.443790067,0.000136437,23.4345,0.0606,0.0031,0.0062,7e-04,0.0033,2e-04,0.005622224,0.6
"425","2","1","1","1","0","0","0","0","0","0","1","0",71.3228,8.243548387,0.024938331,4283.4327,35.23694646,1.2162,0.631487499,0.11410238,0.040915721,0.098287291,1.027648083,32.5
"377","3","0","0","0","0","0","0","0","0","1","1","0",58.22914969,7.443790067,0.012628012,2169,17.84291764,0.281218957,0.319766057,0.057777974,0.020718476,0.049769694,0.520369724,19.99
"454","5","0","0","1","0","0","0","0","0","1","1","0",37.23,7.4075,0.047829309,8215.21,67.58105828,0.47289896,1.211132001,0.21883734,0.078472398,0.188505526,13.97,50.434
"28","4","0","1","1","0","0","0","0","0","0","1","0",42.82897586,7.443790067,0.009288214,1595.353,13.12390603,0.206843479,0.185,0.042497125,0.01523895,0.036606837,0.382744767,7.75
"413","3","0","0","0","0","0","0","0","0","1","1","0",167.9328,7.273870968,0.033187802,5700.37,46.89314542,0.739074275,0.840380285,0.151846855,0.054450429,0.130800217,1.367588734,32.02
"168","2","0","1","0","0","0","0","0","0","1","0","0",20.74800712,7.415333333,0.004499569,772.8505,6.357726057,0.100202956,0.113937924,0.020587246,0.007382335,0.017733763,0.185416322,49.68
"395","3","0","0","0","0","0","0","0","0","1","1","0",160.024,7.477777778,0.031203032,5359.464,44.08873893,0.694874538,0.790122025,0.142765778,0.051194065,0.122977816,1.2858012,28.94
"457","5","0","0","1","0","0","0","0","0","1","1","0",116.64,7.813225806,0.051581733,8859.73,72.88309483,0.51,1.306150728,0.236006108,0.084628909,0.203294629,7.19,28.568
"100","5","0","0","0","0","0","0","0","0","0","1","0",306.4,7.5716,0.012922573,2219.594,18.25912076,0.287778658,0.327224906,0.0591257,0.021201754,0.05093062,0.532507846,70.314
"172","2","0","1","0","0","0","0","0","0","1","0","0",28.55035613,7.09962963,0.006191645,1063.4832,8.74856761,0.137884572,0.156784615,0.02832914,0.010158484,0.024402597,0.255142674,35.34
"493","1","0","0","1","0","0","0","0","0","0","1","0",68.43066047,7.550322581,0.014840389,2549,20.96892442,0.330487377,0.375787773,0.067900441,0.024348269,0.058489142,0.611536388,21.9
"24","4","0","1","1","0","0","0","0","0","0","1","0",36.68409584,7.443790067,0.007955589,1366.46,11.24095585,0.177166646,0.189,0.036399857,0.013052544,0.031354678,0.327830527,6.15
"307","2","0","0","0","0","0","0","0","0","0","1","0",1.041560828,7.443790067,0.000225881,38.7975,0.319161179,0.005030241,0.005719743,0.001033491,0.000370597,0.000890244,0.009307996,3.178
"9","4","0","0","1","0","0","0","0","0","0","1","0",408.3464,7.147419355,0.091210944,15666.4829,128.8777151,2.031218061,2.309640141,0.417324869,0.149647603,0.359481815,3.758581551,48.076
"260","3","0","0","1","0","0","0","0","0","0","1","0",53.90341381,7.443790067,0.011689901,2007.869,16.51740027,0.26032772,0.296011228,0.053485755,0.019179339,0.046072395,0.481712419,20.02
"93","5","0","0","0","0","0","0","0","0","0","1","0",635.9996591,7.791483871,0.021506762,3694.023,30.38826563,0.478943888,0.544593439,0.098401643,0.035285628,0.084762745,0.886241461,58.978
"414","3","0","0","0","0","0","0","0","0","1","1","0",105.38,7.240333333,0.03514756,6036.98,49.66221158,0.78271702,0.890005206,0.160813496,0.057665757,0.138524042,1.448345605,62.12
"221","2","1","0","1","0","0","0","0","0","0","1","0",7.678879724,7.443790067,7e-04,120.2327,0.376706618,0.040551752,0.021978116,0.0045,0.039453761,0.0018,0.028845301,3.042
"219","2","1","0","1","0","0","0","0","0","0","1","0",0.4734,7.443790067,4.32e-05,7.4123,0.042,0.0025,9e-04,3e-04,0.0021,0.000170082,0.001778302,1.161
"344","3","0","1","1","0","0","0","0","0","0","1","0",0.108995089,7.443790067,2.36e-05,4.06,0.033398915,0.000526394,0.000598548,0.000108151,3.88e-05,9.32e-05,0.000974044,0.83
"436","2","0","1","0","0","0","0","0","0","0","0","0",152.1,7.156067581,0.0383498,6587,54.1868596,0.854029169,0.971092217,0.175464968,0.062919595,0.151144755,1.580302154,16.902
"360","2","0","0","0","0","0","0","0","0","1","1","0",21.537136,7.443790067,0.006573087,1129,9.287530665,0.14637907,0.166443466,0.030074381,0.010784306,0.02590594,0.270860958,14.718
"488","1","0","0","1","0","0","0","0","0","0","1","0",82.36377651,6.817333333,0.017862029,3068,25.23839157,0.397777667,0.452301643,0.081725599,0.029305802,0.070398073,0.736050859,20.38
"466","3","0","0","0","0","0","0","0","0","0","1","0",10.25702,7.717888889,0.004593592,789,6.490577232,0.102296799,0.116318773,0.021017437,0.007536596,0.018104328,0.189290785,43.12
"365","3","0","0","0","0","0","0","0","0","1","1","0",19.38287048,7.443790067,0.004203515,722,5.939412879,0.093609998,0.10644126,0.019232687,0.006896607,0.016566952,0.173216662,13.195
"241","4","1","1","1","0","0","0","0","0","0","1","0",178.5585546,7.443790067,0.038723554,6651.1963,54.71495978,0.862352459,0.980556393,0.177175033,0.063532804,0.152617798,1.595703634,51.926
"181","4","1","0","0","0","0","0","0","0","0","1","0",90.83639967,7.443790067,0.019699466,3383.6,27.83462246,0.438696386,0.498829152,0.090132574,0.032320441,0.077639805,0.811767173,10.233
"44","5","0","0","0","0","0","0","0","0","0","1","0",7689.602207,7.443790067,0.11791501,20253.2,166.6095802,2.625903076,2.985839515,0.539506161,0.193460323,0.464728245,4.858991284,70.623
"272","4","1","1","0","0","0","0","0","0","0","1","0",284.9245861,7.443790067,0.061790893,10613.26553,87.30826313,1.376049543,1.5646667,0.282716911,0.101378833,0.243531109,2.546252676,42.1
"435","2","0","1","0","0","0","0","0","0","0","0","0",240.1,7.561935484,0.037185391,6387,52.54159288,0.828098421,0.941607103,0.170137354,0.061009178,0.146555572,1.532319699,7.911
"12","4","0","0","1","0","0","0","0","0","0","1","0",257.21,7.359966032,0.079655568,13681.72,112.5503933,1.773886133,2.017035343,0.364454616,0.130688976,0.313939611,3.282412568,43.66
"233","4","1","1","1","0","0","0","0","0","0","1","0",179.8481652,7.443790067,0.039003228,6699.2335,55.11012982,0.868580661,0.987638304,0.178454651,0.063991659,0.153720055,1.607228348,20.432
"354","2","0","0","0","0","0","0","0","0","1","1","0",31.984607,7.443790067,0.008779641,1508,12.40531111,0.195517836,0.222317757,0.04017021,0.014404547,0.034602443,0.36178771,6.95
"328","2","0","1","0","0","0","0","0","0","0","0","0",1.316182813,7.443790067,0.000285437,49.027,0.403312459,0.006356534,0.007227833,0.001305985,0.00046831,0.001124969,0.011762179,0.7835
"198","2","0","0","0","0","0","0","0","0","0","1","0",223.3,6.396666667,0.034117466,5860.05,48.20672637,0.759777384,0.8639212,0.156100422,0.055975706,0.134464221,1.405897926,44.96
"201","2","0","0","0","0","0","0","0","0","0","1","0",121.2,7.118064516,0.030210816,5189.04,42.68677425,0.67277843,0.76499717,0.138226011,0.04956616,0.119067281,1.24491439,33.41
"244","5","0","0","0","0","0","0","0","0","0","1","0",137.7222748,7.443790067,0.02986749,5130.07,42.20166735,0.665132749,0.756303484,0.136655164,0.049002874,0.11771416,1.230766764,15.971
"110","3","1","0","1","0","0","0","0","0","0","1","0",32.60970103,7.443790067,0.007071985,1214.6913,9.992455888,0.157489267,0.179076555,0.032357032,0.011602837,0.027872206,0.291419353,23.56
"126","5","1","0","1","0","0","0","0","0","1","1","0",356.73,7.925231419,0.051454114,8837.81,72.7027736,1.145855097,1.30291916,0.235422202,0.084419528,0.202791654,2.120299101,33.907
"361","2","0","0","0","0","0","0","0","0","1","1","0",52.074487,7.443790067,0.010153644,1744,14.34672585,0.226116118,0.257110191,0.046456794,0.016658839,0.040017679,0.418407007,20.971
"175","2","0","1","0","0","0","0","0","0","1","0","0",20.1259351,7.430322581,0.004364662,749.6787,6.1671071,0.097198645,0.110521808,0.019969994,0.007160996,0.017202065,0.179857122,58.99
"523","4","0","1","1","0","0","0","0","0","0","1","0",154.92,7.996,0.006615879,1136.35,9.347994217,0.147332025,0.007,0.030270171,0.010050239,0.026074593,0.272624313,35.633
"174","2","0","1","0","0","0","0","0","0","1","0","0",13.03482201,7.21505,0.00282683,485.5391,3.994206626,0.062951959,0.071580878,0.012933825,0.004637912,0.01114114,0.11648679,46.97
"357","2","0","0","0","0","0","0","0","0","1","1","0",32.896977,7.443790067,0.009839253,1690,13.90250383,0.219114816,0.24914921,0.045018338,0.016143027,0.0387786,0.405451744,16.177
"202","2","0","0","0","0","0","0","0","0","0","1","0",131.1,6.797096774,0.034582181,5939.87,48.86335232,0.770126346,0.875688709,0.158226673,0.056738153,0.136295764,1.425047724,33.67
"3","4","0","0","1","0","0","0","0","0","0","1","0",156.57,7.549666667,0.072258953,12411.27,102.0992478,1.609167542,1.82973853,0.33061228,0.118553528,0.284787971,2.977616019,45.164
"411","3","0","0","0","0","0","0","0","0","1","1","0",343.76,7.26483871,0.14945593,25670.7,211.1757426,3.328302198,3.78451753,0.683817905,0.245208753,0.58903775,6.158716033,32.52
"469","3","0","0","0","0","0","0","0","0","0","1","0",27.94141,6.436785714,0.006875833,1181,9.715300014,0.153121064,0.174109596,0.031459561,0.011281014,0.027099128,0.283336397,51.485
"480","3","0","0","0","0","0","0","0","0","0","1","0",33.35518,7.729333333,0.007166935,1231,10.1266167,0.159603751,0.181480874,0.032791464,0.011758619,0.028246424,0.29533201,65.636
"419","2","0","0","1","0","0","0","0","0","0","1","0",121.1637462,7.12483871,0.026276483,4513.275,37.1277059,0.585162972,0.665372131,0.120224936,0.043111194,0.103561233,1.082790072,1
"502","1","0","0","1","0","0","0","0","0","0","1","0",61.5473253,6.920689655,0.013347617,2292.6,18.85969247,0.297244159,0.337987857,0.061070439,0.021899114,0.052605809,0.550022881,23.85
"397","3","0","0","0","0","0","0","0","0","1","1","0",118.6031,7.430567,0.028030102,4814.4783,39.60550474,0.624215106,0.709777198,0.12824841,0.045988314,0.110472619,1.155052441,38.42
"294","3","0","0","1","0","0","0","0","0","0","1","0",64.28348325,7.443790067,0.013941001,2394.5202,19.69812204,0.310458493,0.353013501,0.063785397,0.022872665,0.054944462,0.574474788,8
"61","2","1","0","1","0","0","0","0","0","0","0","0",386.81,7.314,0.13696328,23524.95,193.5240873,3.050097691,3.82,0.626659266,0.224712363,0.539801549,5.643924269,44.94
"351","2","0","0","0","0","0","0","0","0","1","1","0",18.627166,7.443790067,0.006084035,1045,8.596518641,0.135488156,0.154059719,0.027836783,0.009981931,0.023978483,0.250708327,7.95
"183","4","1","0","0","0","0","0","0","0","0","1","0",74.04578677,7.443790067,0.016058127,2758.16,22.68954436,0.357605753,0.406623305,0.073472059,0.026346184,0.06328851,0.66171644,17.377
"370","3","0","0","0","0","0","0","0","0","1","1","0",27.2756183,7.443790067,0.005915196,1016,8.357954965,0.131728197,0.149784377,0.027064279,0.00970492,0.023313052,0.243750871,18.57
"401","3","0","0","0","0","0","0","0","0","1","1","0",182.2564,7.443790067,0.038132486,6549.6739,53.87980265,0.8491897,0.965589395,0.174470672,0.062563053,0.150288273,1.571347165,47.55
"490","1","0","0","1","0","0","0","0","0","0","1","0",63.67890413,7.159,0.013809887,2372,19.51286336,0.307538665,0.349693447,0.063185502,0.02265755,0.054427715,0.569071916,24.3
"331","2","0","1","0","0","0","0","0","0","0","0","0",6.914980899,7.443790067,0.001499635,257.578784,2.118929013,0.033396052,0.037973699,0.006861402,0.002460415,0.005910381,0.061796312,0.972
"15","4","0","0","1","0","0","0","0","0","0","1","0",119.72,7.597777778,0.070376861,12088,99.43992089,1.567254378,1.782080267,0.322000991,0.115465624,0.277370244,2.900059578,69.05
"166","2","0","1","0","0","0","0","0","0","1","0","0",16.13116845,7.433548387,0.003498327,600.8761,4.943007267,0.077905832,0.0885845,0.01600618,0.005739621,0.013787653,0.144157552,48.44
"505","2","0","1","1","0","0","0","0","0","0","1","0",2.005939172,7.443790067,0.000435023,74.72,0.614671649,0.009687727,0.011015638,0.001990397,0.000713732,0.001714519,0.017926245,0.976
"17","4","0","0","1","0","0","0","0","0","0","1","0",585.64,7.575172414,0.149369414,25655.84,211.0534993,3.326375544,3.782326786,0.683422063,0.245066809,0.588696774,6.155150936,72.4
"455","5","0","0","1","0","0","0","0","0","1","1","0",108.52,7.644666667,0.053624047,9210.52,75.7688104,0.530192816,1.357866143,0.245350477,0.087979686,0.211343827,1.65,38.949
"37","4","0","1","1","0","0","0","0","0","0","1","0",27.62056359,7.443790067,0.005990004,1028.849,8.463655126,0.133394118,0.08,0.027406552,0.009827655,0.023607884,0.246833504,24.35
"450","5","0","0","1","0","0","0","0","0","1","1","0",120.58,8.233225806,0.054715622,9398.01,77.31116569,1.54,1.385506963,0.250344849,0.089770607,0.215645957,1.28,25.555
"426","2","0","1","0","0","0","0","0","0","0","0","0",198.6,6.9328125,0.027258807,4682,38.51569404,0.607038799,0.69024651,0.124719444,0.04472287,0.107432783,1.123269271,7.875
"107","5","0","0","0","0","0","0","0","0","0","1","0",921.4052256,7.791483871,0.031157946,5351.72,44.0250342,0.6938705,0.788980361,0.142559492,0.051120094,0.122800123,1.283943319,48.901
"376","3","0","0","0","0","0","0","0","0","1","1","0",25.98700641,7.443790067,0.005635738,968,7.963090951,0.125504818,0.14270795,0.025785652,0.00924642,0.022211648,0.232235082,32.63
"8","4","0","0","1","0","0","0","0","0","0","1","0",84.77,7.548666667,0.0870261,14947.69,122.9646849,1.938023875,2.203671689,0.398177614,0.142781631,0.342988453,3.586134311,44.89
"410","3","0","0","0","0","0","0","0","0","1","1","0",369.9,7.234516129,0.160977405,27649.64,227.4551633,3.584879165,4.076263884,0.736533048,0.264111759,0.634446343,6.63348803,36.37
"64","2","1","0","1","0","0","0","0","0","0","0","0",934.64,7.485483871,0.138489762,23787.14,195.6809497,3.084091604,7.38,0.633643502,0.227216824,0.545817739,5.706826868,53.6225
"6","4","0","0","1","0","0","0","0","0","0","1","0",417.8908,7.589666667,0.067640576,11618.0129,95.5736502,1.506318794,1.712792151,0.309481442,0.110976267,0.266585959,2.787303904,63.235
"306","2","0","0","0","0","0","0","0","0","0","1","0",2.819794226,7.443790067,0.000611522,105.0356,0.864057888,0.013618258,0.015484933,0.002797946,0.001003309,0.002410138,0.02519933,1.012
"318","3","0","1","1","0","0","0","0","0","1","1","1",93.86377317,7.443790067,0.020356005,3496.3678,28.76228801,0.453317153,0.515454009,0.09313649,0.033397608,0.080227365,0.838821552,49.706
