industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,Fe,Ni,NH3N,HW17,HWsum
4417,202011,2,0,0,0,0,0,1,0,1,1,0,1,210.636,8.406,7368.071,96.8011378,2.066355417,0,0,21.19,0,1007.1
4417,202110,2,0,0,0,0,0,1,0,1,1,0,1,714.736,8.24,10125.496,133.0279708,2.839667737,0,0,3.331,0,1058.721
4417,202109,2,0,0,0,0,0,1,0,1,1,0,1,666.926,7.884666667,9237.296,121.358869,2.59057447,0,0,3.695,0,1218.985
4417,202212,2,0,0,0,0,0,0,0,1,1,1,0,648.228,7.581304348,10958.282,143.9690478,3.0732203,0,0,7.155,0,1136.798
4417,202207,2,0,0,0,0,0,0,0,1,1,1,0,956.702,7.581304348,16772.138,220.3510311,4.703700358,0,0,67.347,0,1188.83
4417,202210,2,0,0,0,0,0,0,0,1,1,1,0,624.441,7.581304348,12462.437,163.730518,3.495056467,0,0,7.793,0,1271.579
4417,202202,2,0,0,0,0,0,0,1,1,1,1,0,180.03,7.885,7295.54,55.573,0.641,0,0,6.145,0,1360.197
4417,202207,2,0,0,0,0,0,0,1,1,1,1,0,78.73,8.119330032,2648.04,56.052,0.184,0,0,0.637,0,1511.332
4417,202206,2,0,0,0,0,0,0,1,1,1,1,0,51.08,8.084666667,2595.43,42.96,0.205,0,0,1.249,0,1759.187
4417,202005,3,0,0,0,0,0,0,0,1,1,0,0,19.7911,7.581304348,1876.04,24.6472661,0.526130301,0,0,0.5844,0,0.4
4417,202108,2,0,0,0,0,0,0,0,1,0,0,0,224.973483,7.103870968,3826.191781,50.26820695,1.07304505,0,0,3.370634,0,924.003
4417,202109,2,0,0,0,0,0,0,0,1,0,0,0,312.128673,6.928275862,3411.02303,44.81375252,0.956612106,0,0,1.583612,0,937.52
4417,202212,2,0,0,0,0,0,0,0,1,0,0,0,243.8781,7.737258065,3127,41.08228027,0.876958622,0,0,0.92913,0,978.674
4417,202203,2,0,0,0,0,0,0,0,1,0,0,0,219.580005,6.917478774,6446,84.68704146,1.807763119,0,0,24.042025,0,1401.279
4417,202209,2,0,0,0,0,0,0,0,1,1,0,1,42.1672,8.128666667,2129.9804,27.98351512,0.597347194,0,0,0.138,0,1381.63
4417,202208,2,0,0,0,0,0,0,0,1,1,0,1,166.0919,7.968064516,7592.714,99.75247988,2.129355933,0,0,1.0177,0,1801.653
4417,202210,2,0,0,0,0,0,0,0,1,1,0,1,92.3899,8.065483871,3056.6364,40.15784883,0.857225342,0,0,0.2137,0,1610.623
4417,202206,3,0,0,0,0,0,0,0,1,0,0,0,191.676,8.245971015,2108.703,27.70397431,0.591380005,0,0,3.469877436,0,493.875
4417,202207,3,0,0,0,0,0,0,0,1,0,0,0,520.672,8.245971015,4421.763,58.09277482,1.240071374,0,0,7.27602496,0,502.727
4417,202203,3,0,0,0,0,0,0,0,1,0,0,0,51.29002702,8.245971015,471.689,6.197013016,0.132283894,0,0,0.776165737,0,624.679
4417,202110,3,0,0,0,0,0,0,0,1,0,0,0,189.73,6.85483871,1276.474,16.7702151,0.357983652,0,0,2.85,0,690.801
4417,202111,3,0,0,0,0,0,0,0,1,0,0,0,38.51,7.694444444,436.829,5.739025075,0.122507502,0,0,0.4,0,692.661
4417,202210,3,0,0,0,0,0,0,0,1,0,0,0,338.085,8.245971015,3219.121,42.29255873,0.902793705,0,0,5.297073757,0,750.736
4417,202110,3,0,0,0,0,0,0,0,1,1,0,0,198.346685,7.581304348,6944,91.22972633,1.947425861,0,0,5.269989906,0,253.103
4417,202211,3,0,0,0,0,0,0,0,1,1,0,0,267.015919,7.581304348,4523,59.42281857,1.268463014,0,0,3.432627354,0,603.506
4417,202005,3,0,0,0,0,0,0,0,1,1,0,0,215.82465,7.581304348,6225,81.78356083,1.745784272,0,0,4.724321308,0,660.37
4417,202111,3,0,1,0,0,0,1,0,1,1,0,0,1643.735,7.9455,30947,393.173,14.9658,0,0,24.0573,0,3586.9
4417,202112,2,0,0,0,0,0,0,0,1,1,0,0,815.383,7.077096774,12825.475,168.5000827,3.596869484,0,0,2.698,0,2.042
4417,202206,2,0,0,0,0,0,0,0,1,1,0,0,462.604,6.967,7431.893,97.63962622,2.084254122,0,0,5.473,0,799.459
