"","staff","process_1","process_2","process_3","process_4","process_5","process_6","process_7","process_8","process_9","process_10","process_11","COD","pH","water","N","P","Cu","Ni","NH3N","HW17"
"362","5","1","1","1","1","0","0","0","0","1","0","1",8571.475,7.802903226,53339,339.8509201,22.09160057,1.026564865,2.36587461,514.00978,45.56
"232","5","1","1","1","1","0","0","0","0","1","0","0",4620.702531,7.493988095,31607,201.3848785,4.005120848,11.02093432,0.059732131,178.228869,15.58
"313","5","1","1","1","1","0","0","0","0","1","1","1",552.216352,7.508333333,27408,113.0245048,1.584644,0.909003,0.558245638,15.098164,58.1
"107","5","1","1","1","1","0","0","0","0","1","1","1",20578.95,7.436333333,132019.41,841.165338,13.15080029,7.962651087,1.009402082,1650.394483,12.75
"518","5","1","1","1","1","0","0","0","0","1","1","1",35622.5,7.06,166343,1059.859045,16.56986328,10.03285252,192.0465189,3227.86,12.2535
"395","5","1","1","1","1","0","1","0","0","1","1","1",1889.309315,7.4715,86047,548.2508507,8.571367748,5.18985987,0.657903417,52.628659,76
"143","4","1","1","1","1","0","0","0","0","1","1","1",587.932315,7.266428571,21295.35133,135.6839225,2.121285897,1.011633,0.1628213,21.851648,19.033
"705","2","1","0","1","0","0","0","0","0","0","0","0",324.01,7.923571429,8116.226,51.71275941,0.808478596,0.524,0.403,16.18624021,8.33
"17","5","1","1","1","1","0","0","0","0","1","1","1",16690.97293,7.746774194,89204,568.3657639,8.885844812,1.538815083,0.020582317,1142.720413,62.488
"97","5","1","1","1","1","0","0","0","0","1","1","1",63950.03,7.554666667,416170.73,2651.643366,41.45585985,25.10102352,3.18198363,5202.612833,2.2685
"164","5","1","1","1","1","0","0","0","0","1","1","0",431.408639,7.493988095,10641,67.79942708,1.059977968,0.477004,0.005261,3.56228,1.86
"669","5","1","1","1","1","0","0","0","0","1","1","0",5448.315,6.815483871,54723,348.6691146,5.451101808,1.0448,0.418404462,460.9362,28.417
"567","4","0","0","1","0","0","0","0","0","0","1","0",47235.90207,7.493988095,4834,20.72566303,0.080127372,0.182267439,0.034440689,6519.039342,45.8995
"687","5","0","0","1","1","0","0","0","0","0","1","0",8307.43,6.831290323,53687.17,372.3817873,40.01728978,3.238101144,0.410484649,185.19,56.306
"254","2","1","1","1","1","0","0","0","0","1","1","0",401.708,7.941935484,10879.01,69.31591441,1.083686769,0.656159278,0.0831794,1.889761576,35.27
"706","2","1","0","1","0","0","0","0","0","0","0","0",488.096,7.803076923,9946.091,63.37179509,0.990756257,1.442,0.986,19.83555141,7.52
"391","5","1","1","1","1","0","1","0","0","1","1","1",1394.381539,7.4715,63044,401.6865972,6.27997848,3.802451284,0.482025672,23.866729,52.835
"142","4","1","1","1","1","0","0","0","0","1","1","1",388.044,7.240666667,32676.54,208.1994823,3.254996003,0.201384,0.249840289,5.968933,24.619
"411","4","1","1","1","1","0","0","0","0","1","1","1",423.9945903,7.493988095,5647.175,35.98113238,0.562529939,0.340605099,0.043177516,11.26219638,21.74
"655","1","1","1","1","1","0","0","0","0","1","1","0",372.515121,6.95,198.041,1.261823733,0.019727384,0.011944693,0.001514194,2.54878767,1.832
"288","4","1","1","1","1","0","0","0","0","1","0","0",400.832763,7.493988095,8878,56.56642361,0.884360906,0.53546987,0.067879956,17.70545086,49.14
"650","1","1","1","1","1","0","0","0","0","1","1","0",133.2478016,6.95,70.83881,0.451351446,0.00705644,0.004272589,0.000541624,0.911695485,0.778
"427","5","1","1","1","1","0","0","0","0","1","0","0",950.354149,7.493988095,33564,213.8539583,3.343398225,2.024387331,0.256625685,14.216064,33.67
"488","5","1","1","1","1","0","1","0","1","1","1","1",13813.688,7.891935484,148881.826,948.60469,14.83050986,17.88,1.138329774,296.9159556,41.18
"464","2","1","1","1","1","0","0","0","0","1","1","1",33.11783475,7.451333333,1372,8.741736111,0.102965856,0.082751145,0.010490122,3.734480511,0.51
"545","4","1","1","1","1","0","0","0","0","1","1","1",568.345548,7.87,10167,50.660981,0.566801394,2.796842,7.4e-05,1.191213,6.233
"85","5","1","1","1","1","0","0","0","0","1","1","1",13570.79,7.55516129,94539,602.3578646,9.417278179,5.702048442,0.72283207,1331.81,5.585
"700","2","1","0","1","0","0","0","0","0","0","0","0",266.564,7.945333333,7305.612,46.54790979,0.727731206,0.659,0.515,14.56962765,7.62
"308","5","1","1","1","1","0","0","0","0","1","1","1",326.160138,7.363809524,1151321,25.82,219.347611,29.881648,23.45008487,456.760112,23.82
"447","1","1","1","1","1","0","1","0","0","1","0","1",40.985086,7.493988095,552,3.517083333,0.05498617,0.033293463,0.004220515,6.26428,4.8
"611","5","1","1","1","1","0","0","0","0","1","1","1",2770.3062,7.033870968,143995,917.4681424,14.34372028,11.6786,4.2446,287.170128,62.64
"701","2","1","0","1","0","0","0","0","0","0","0","0",261.979,8.002903226,6845.99,43.61941545,0.681947051,0.571,0.345,13.65300062,4.18
"375","3","1","1","1","1","0","0","0","0","1","1","0",385.93828,7.493988095,2427,15.46369792,0.241759847,0.146382673,0.018556505,23.722646,12.08
"434","5","1","1","1","1","0","0","0","0","1","0","0",7928.929372,7.493988095,669394,4265.062465,66.68009509,40.37399396,5.118093601,56.3964,22.8
"387","5","1","1","1","1","0","1","0","0","1","1","1",1706.292062,7.4715,72877,464.3378299,7.259469445,4.395521259,0.557207425,28.233729,65.607
"696","2","1","0","1","0","0","0","0","0","0","0","0",277.392,8.002903226,7704.314,49.08825066,0.76744696,0.566,0.423,15.36476154,3.36
"277","4","1","1","1","1","0","0","0","1","1","1","1",342.422,7.305297767,15495.671,98.73109821,5.919702452,0.131436425,0.088681974,46.173,47.76
"695","5","1","1","1","1","0","0","0","0","1","0","0",9432.584787,7.481774194,26916,171.4960417,2.681173478,1.743786122,0.205796,372.66223,7.7
"160","5","1","1","1","1","0","0","0","0","1","1","0",456.595794,7.493988095,10660,67.92048611,1.061870608,3.518758,0.001598,3.397549,2.82
"466","2","1","1","1","1","0","0","0","0","1","1","1",23.820166,6.625517241,1041,6.632760417,0.083183,0.062787129,0.007959341,1.951249,0.22
"263","2","1","1","1","1","0","0","0","0","1","1","0",882.147,7.919354839,14151.62,90.16743993,1.40968005,0.853544281,0.108201322,2.458237258,50.3
"539","4","1","1","1","1","0","0","0","0","1","0","0",1186.8269,7.505,15527.22,98.93211354,1.54670718,0.045947,0.118718969,30.96603184,17.4925
"333","1","1","1","1","1","0","0","0","0","1","0","0",195.8954999,7.493988095,4338.8675,27.6452148,0.432205992,0.261695519,0.033174379,8.653030558,5.8
"236","5","1","1","1","1","0","0","0","0","1","0","0",6708.35646,7.493988095,33058,210.6299653,4.188986142,11.52687844,0.062474287,122.321628,8.94
"148","5","0","1","1","1","0","0","0","0","1","1","1",9807.0326,7.991017933,396370,2525.482465,39.48345711,30.357295,0.0378,215.86095,18
"428","5","1","1","1","1","0","0","0","0","1","0","0",514.442554,7.493988095,19920,126.9208333,1.984283537,1.201459768,0.152305555,17.856772,22.96
"268","2","1","1","1","1","0","0","0","0","1","1","0",588.59,8.063225806,10954,69.79371528,1.09115672,0.660682244,0.083752763,0.409487,28.909
"36","4","1","1","1","1","0","0","0","0","1","0","0",0.033,7.493988095,1.119,0.00712974,0.000111467,6.75e-05,8.56e-06,0.001,7.88
"225","5","1","1","1","1","0","0","0","0","1","0","0",5353.094961,7.493988095,18524,118.0261806,2.392464,6.459068795,0.035007372,71.45735,13.869
"432","5","1","1","1","1","0","0","0","0","1","0","0",374.293161,7.493988095,15717,100.1413021,1.565611664,0.947958994,0.12017,19.939812,19.04
"681","5","0","0","1","1","0","0","0","0","0","1","0",3562.48,7.5858244,42614.37,268.32,14.89,2.570253568,0.325823557,27.28,44.075
"329","5","1","1","1","1","0","0","0","0","1","1","1",925.453934,7.50516129,34366,141.7177515,3.70984859,0.84123113,0.699966053,14.84415,48.657
"533","4","1","1","1","1","0","0","0","0","1","0","0",957.843,7.456333333,18686.4,119.0609167,1.8614014,0.713598,0.14287362,37.26640425,5.92
"519","5","1","1","1","1","0","0","0","0","1","1","1",32004.8,7.050666667,182183,1160.784045,18.14772729,10.98823016,210.3341346,3828.88,17.788
"327","5","1","1","1","1","0","0","0","0","1","1","1",694.974017,7.684573226,27717,114.2987522,2.992081516,0.678473003,0.564539344,24.146409,51.324
"372","3","1","1","1","1","0","0","0","0","1","1","0",428.87948,7.493988095,2633,16.77623264,0.262280048,0.158807408,0.020131552,19.004918,16.12
"500","5","1","1","1","1","0","0","0","0","1","1","0",3418.427971,8.014333333,198969,293.9937381,4.417881395,7.567479865,1.521289354,66.819993,60.1438
"126","4","0","1","1","0","0","0","0","0","0","0","0",59.8582,7.572580645,1083,6.900364583,0.107880475,0.065320328,0.008280468,2.159833665,1.023
"159","5","1","1","1","1","0","0","0","0","1","1","0",399.657611,7.493988095,10280,65.49930556,1.024017809,3.676125,0.003648,8.370489,0.68
"603","5","1","1","1","1","0","0","0","0","1","1","1",2567.6517,7.815357143,102622.9719,653.8651161,10.22254386,2.5462,3.0997,204.6616339,58.02
"166","5","1","1","1","1","0","0","0","0","1","1","0",848.210504,7.493988095,11736,74.77625,1.169053795,2.322196789,0.005912515,4.427417556,9.095
"479","5","1","1","1","1","0","1","0","1","1","1","1",5182.063,6.765483871,194857.6,1241.540611,19.4102775,29.53,1.48985416,388.6057289,76.43
"279","4","1","1","1","1","0","0","0","1","1","1","1",552.592,7.305297767,24160.727,153.9407432,9.229952989,0.204934628,0.138272229,71.263,20.7
"336","4","0","1","1","0","0","0","0","0","0","0","0",28.32644963,7.493988095,6146.9361,39.16537411,0.612312455,0.370747812,0.081383367,12.25887306,3.45
"689","5","0","0","1","1","0","0","0","0","0","1","0",2974.387,7.439,73122.472,467.402,49.074,4.410326717,0.55908427,39.128,50.14
"96","5","1","1","1","1","0","0","0","0","1","1","1",12272.1,7.771935484,111538,710.6674653,11.11059323,6.727330299,0.852804065,1279.156,29.523
"40","5","1","1","1","1","0","0","0","0","1","1","0",399.782112,7.619677419,22230,141.6390625,2.214388707,1.340785674,0.169967494,6.166972,54.624
"356","5","1","1","1","1","0","0","0","0","1","0","1",20841.86954,7.802903226,64787,412.7921701,26.83305885,1.246893603,2.873655643,1022.521589,39.95
"41","5","1","1","1","1","0","0","0","0","1","1","0",668.081589,7.479677419,36088,229.9356944,3.594820497,2.176620487,0.275923838,9.5042,52.463
"436","5","1","1","1","1","0","0","0","0","1","0","0",1080.543301,7.493988095,33214,211.6239236,3.308533806,2.003277345,0.253949633,24.435174,25.37
"531","4","1","1","1","1","0","0","0","0","1","0","0",486.7611,7.341333333,12955.72,82.54772986,1.290553309,0.108838,0.099057637,25.83767332,3.42
"176","5","1","1","1","1","0","0","0","0","1","1","0",1104.470424,7.493988095,12347,78.66925347,1.22991711,2.443095071,0.006220332,4.657917907,6.59
"359","5","1","1","1","1","0","0","0","0","1","0","1",11303.445,7.830322581,65091,414.7291146,29.32,2.42,3.23,1055.0523,40.26
"147","4","1","1","1","1","0","0","0","0","1","1","1",349.362,7.587419355,24053.6,153.2581806,2.396042294,0.445864,0.183910487,57.1807,51.406
"709","2","1","0","1","0","0","0","0","0","0","0","0",203.279,7.955819433,7233.961,46.09138345,0.720593862,0.539,0.208,14.42673361,6.72
"475","5","1","1","1","1","0","1","0","1","1","1","1",5203.264,6.824193548,168007.67,1070.465536,16.73568543,27.314,1.284563322,335.0587457,55.8
"27","5","1","1","1","1","0","0","0","0","1","0","0",502.195952,7.562,29057,185.1374826,1.950574,0.311177,0.885761,18.900849,73.199
"371","3","1","1","1","1","0","0","0","0","1","1","0",371.317138,7.493988095,2488,15.85236111,0.247836217,0.150061842,0.019022903,16.534795,9.2
"663","5","1","1","1","1","0","0","0","0","1","1","0",2172.676,6.849575773,31205.9,198.8292587,3.108501689,3.0731,0.238595979,307.6259,58.102
"355","5","1","1","1","1","0","0","0","0","1","0","1",13331.82908,7.87405529,62850,400.4505208,9.23,0.41,1.57,277.509499,28.9
"672","5","1","1","1","1","0","0","0","0","1","1","0",1765.748,7.417,50770,323.4824653,5.057333092,1.5235,0.388180372,570.639,0.641
"549","4","1","1","1","1","0","0","0","0","1","1","1",565.82153,7.930333333,9410,52.600348,0.524599303,2.754339,0.000336,1.181023,43.632
"98","5","1","1","1","1","0","0","0","0","1","1","1",26726.1,7.632333333,172499.4,1099.084719,17.18311845,10.40417114,1.318906467,3040.49,56.52
"666","5","1","1","1","1","0","0","0","0","1","1","0",1279.7756,7.176129032,43751,278.7607118,4.35815206,1.5298,0.334514073,413.1526,0.663
"564","4","0","0","1","0","0","0","0","0","0","1","0",43864.31802,7.493988095,6647,28.49885853,0.110179281,0.250627155,0.047357728,6979.581655,28.725
"298","4","1","1","1","1","0","0","0","0","1","0","0",436.1844248,7.493988095,9661,61.55532986,0.962357593,0.582695924,0.073866665,19.26699265,77.9485
"243","5","1","1","1","1","0","0","0","0","1","0","0",6449.544312,7.493988095,36748,234.1409028,4.656569143,12.81353164,0.069447791,131.403107,20.96
"250","5","1","1","1","1","0","0","0","0","1","0","0",7157.838238,7.493988095,34498,219.8049653,4.371457557,12.028987,0.065195654,159.658564,24.15
"492","5","1","1","1","1","0","1","0","1","1","1","1",18879.501,7.352914419,181870.343,1158.791942,18.11658271,17.246,1.390555396,362.7051611,53.94
"88","5","1","1","1","1","0","0","0","0","1","1","1",26174.1696,7.406699467,141143.027,899.2967172,14.05962775,8.512935161,1.079159991,1614.8717,40.119
"378","3","1","1","1","1","0","0","0","0","1","1","0",394.368757,7.493988095,2545,16.21553819,0.253514137,0.153499754,0.019458717,21.044762,9.2
"442","5","1","1","1","1","0","0","0","0","1","0","0",511.521895,7.493988095,20993,133.7574826,2.091167886,1.266176953,0.160509564,11.846344,34.25
"413","4","1","1","1","1","0","0","0","0","1","1","1",402.576,7.493988095,3869.37,24.65379844,0.385438112,0.233378132,0.029584666,7.716708761,9.82
"303","4","1","1","1","1","0","0","0","0","1","0","0",1012.782219,7.493988095,22432,142.9261111,2.234510457,1.352969152,0.171511958,44.73627772,33.879
"460","1","1","1","1","1","0","0","0","0","1","1","1",44.33686,7.493988095,3824,24.36472222,0.380918687,0.230641674,0.029237773,2.747034,3.23
"320","5","1","1","1","1","0","0","0","0","1","1","1",562.09,7.451851852,32256,205.52,5.08,0.75,0.87,18.58,57.305
"426","5","1","1","1","1","0","0","0","0","1","0","0",473.547351,7.493988095,17936,114.2797222,1.786652085,1.081796305,0.137136166,8.923748,16.13
"568","4","0","0","1","0","0","0","0","0","0","1","0",3141.275133,7.493988095,855893,901.473841,1.817166,3.436357,0.397943,268.167503,55
"137","4","1","1","1","1","0","0","0","0","1","1","1",212.625,7.5496,15385.93,98.03188038,1.532632912,0.131073,0.117638685,30.48124,47.347
"437","5","1","1","1","1","0","0","0","0","1","0","0",729.765543,7.493988095,23301,148.4629688,2.32107383,1.405382231,0.178156211,18.897014,19.41
"326","5","1","1","1","1","0","0","0","0","1","1","1",783.749595,7.459,30660,126.4350306,3.309781696,0.750513485,0.624482314,14.891307,45.43
"443","5","1","1","1","1","0","0","0","0","1","0","0",707.307365,7.493988095,24440,155.7201389,2.434532613,1.474080157,0.186864847,11.468072,28.95
"369","3","1","1","1","1","0","0","0","0","1","1","0",361.856641,7.493988095,2668,16.99923611,0.26576649,0.160918407,0.020399158,19.680549,8.74
"658","1","1","1","1","1","0","0","0","0","1","1","0",1.881,6.95,1,0.006371528,9.96e-05,6.03e-05,7.65e-06,0.01287,0.6995
"491","5","1","1","1","1","0","1","0","1","1","1","1",19177.267,7.299677419,264136.66,1682.954066,26.31134669,36.607,2.019552236,526.769391,58.4
"22","5","1","1","1","1","0","0","0","0","1","0","0",62.339067,7.453,25998,165.6469792,1.354578926,0.218813173,0.747067137,11.13305028,39.154
"495","5","1","1","1","1","0","0","0","0","1","1","0",2804.570819,7.572,181360,267.9749325,4.026893485,6.897748636,1.386653384,76.674645,64.7382
"71","5","0","0","1","0","0","0","0","0","0","0","0",1093.5021,7.4845,58881,375.1619271,5.865291112,1.9944,0.0196,128.1497,26.875
"177","5","1","1","1","1","0","0","0","0","1","1","0",515.097281,7.493988095,11496,73.24708333,1.145146764,0.202915,0.007889,1.690939,2.98
"656","1","1","1","1","1","0","0","0","0","1","1","0",143.298342,6.95,76.182,0.485395729,0.007588689,0.00459486,0.000582477,0.98046234,2.4425
"334","1","1","1","1","1","0","0","0","0","1","0","0",236.7218338,7.493988095,5243.1254,33.40671913,0.522281497,0.316235152,0.040088209,10.45639774,6.74
"584","4","0","0","1","0","0","0","0","0","0","0","0",32.5049,7.493988095,505.075,3.218099392,0.050311848,0.030463217,0.003861733,1.007274227,0.025
"546","4","1","1","1","1","0","0","0","0","1","1","1",478.145367,7.847096774,9113,48.254678,0.508041812,3.168277,0.000134,3.974581,20.31
"571","4","0","0","1","0","0","0","0","0","0","1","0",22651.1874,7.493988095,570726,2446.974505,9.460234699,21.51939727,4.066238443,1661.798514,25.6
"68","5","0","0","1","0","0","0","0","0","0","0","0",1815.3133,6.835714286,49432,314.9573611,4.924051396,0.9613,0.002,185.6369,74.44
"276","4","1","1","1","1","0","0","0","1","1","1","1",236.624,7.305297767,9183.653,58.51390019,3.50836651,0.077897015,0.052558194,21.708,21.52
"297","4","1","1","1","1","0","0","0","0","1","0","0",723.1965755,7.493988095,16018,102.0591319,1.595595065,0.966113582,0.122471404,31.94479746,40.453
"376","3","1","1","1","1","0","0","0","0","1","1","0",96.17997203,7.493988095,615,3.918489583,0.061261766,0.037093261,0.004702205,4.439052248,8.15
"155","4","1","1","1","1","0","0","0","1","1","0","1",189.862064,7.493988095,9098.00475,57.96818999,0.906276157,0.548739291,0.069562081,18.1442077,25.7
"562","4","0","0","1","0","0","0","0","0","0","1","0",2452.995146,7.493988095,194376,833.3825975,3.221935885,7.329006151,1.384866229,70.649608,28
"321","5","1","1","1","1","0","0","0","0","1","1","1",877.361559,7.131290323,40117,165.4335982,4.330675548,0.982007485,0.817102315,44.824149,47.814
"373","3","1","1","1","1","0","0","0","0","1","1","0",316.064591,7.493988095,2021,12.87685764,0.20131712,0.12189509,0.015452285,19.587071,6.72
"591","5","1","1","1","1","0","0","0","0","1","0","0",3063.095,7.917096774,22957,146.2711632,2.286807087,1.384634131,0.0788,209.314,4.482
"523","5","1","1","1","1","0","0","0","0","1","1","1",42286,7.110333333,224590,1430.981424,22.37199998,13.54597637,259.2939149,4333.91,14.9485
"463","2","1","1","1","1","0","0","0","0","1","1","1",52.548054,7.480645161,2214,14.1065625,0.056887,0.133535739,0.016927937,6.026341,0.72
"578","4","0","0","1","0","0","0","0","0","0","0","0",27.9517,7.493988095,462.5382,2.94707499,0.046074645,0.027897642,0.003536503,0.922442822,0.015
"345","5","1","1","1","1","0","0","0","0","1","0","1",4908.3611,7.799677419,34793,221.684566,14.41033875,0.66962769,1.543258691,640.82613,17.62
"604","5","1","1","1","1","0","0","0","0","1","1","1",2763.4,7.002,154688,985.5988889,15.4088781,9.9828,4.4641,308.4952447,37.86
